bienestar_id,Student_ID,Burnout_Risk_Level,Burnout_Encoded,Perceived_AI_Dependency,Dependencia_Alta,Anxiety_Level_During_Exams
100078,100078,Low,0,1,0,2
100079,100079,High,2,1,0,8
100080,100080,Medium,1,2,0,1
100081,100081,Low,0,2,0,1
100082,100082,Low,0,4,0,2
100083,100083,Medium,1,4,0,4
100084,100084,Medium,1,2,0,2
100085,100085,Low,0,4,0,3
100086,100086,Medium,1,3,0,3
100087,100087,High,2,2,0,5
100088,100088,Medium,1,6,0,5
100089,100089,High,2,1,0,2
100090,100090,High,2,6,0,1
100091,100091,Medium,1,3,0,6
100092,100092,High,2,3,0,2
100093,100093,Low,0,3,0,1
100094,100094,Medium,1,7,1,8
100095,100095,Medium,1,3,0,4
100096,100096,High,2,1,0,3
100097,100097,Medium,1,2,0,5
100098,100098,Medium,1,2,0,3
100099,100099,Medium,1,6,0,4
100100,100100,High,2,6,0,2
100101,100101,High,2,7,1,6
100102,100102,Medium,1,6,0,4
100103,100103,Medium,1,5,0,2
100104,100104,Low,0,2,0,4
100105,100105,Medium,1,2,0,2
100106,100106,Medium,1,3,0,1
100107,100107,Low,0,2,0,1
100108,100108,Low,0,2,0,4
100109,100109,Low,0,3,0,1
100110,100110,Low,0,4,0,2
100111,100111,Low,0,2,0,4
100112,100112,Medium,1,6,0,6
100113,100113,Low,0,5,0,3
100114,100114,Low,0,4,0,1
100115,100115,Low,0,1,0,3
100116,100116,Medium,1,2,0,3
100117,100117,Low,0,3,0,4
100118,100118,Low,0,1,0,6
100119,100119,Medium,1,7,1,5
100120,100120,Low,0,1,0,3
100121,100121,Medium,1,3,0,2
100122,100122,Low,0,4,0,9
100123,100123,Medium,1,4,0,4
100124,100124,Medium,1,5,0,6
100125,100125,High,2,10,1,2
100126,100126,Medium,1,7,1,8
100127,100127,Low,0,4,0,2
100128,100128,Medium,1,7,1,9
100129,100129,Medium,1,3,0,3
100130,100130,Low,0,2,0,1
100131,100131,Low,0,1,0,6
100132,100132,Low,0,5,0,4
100133,100133,Medium,1,5,0,5
100134,100134,High,2,6,0,1
100135,100135,Low,0,3,0,7
100136,100136,Medium,1,3,0,7
100137,100137,Medium,1,8,1,3
100138,100138,Medium,1,4,0,2
100139,100139,Medium,1,1,0,3
100140,100140,Low,0,3,0,2
100141,100141,High,2,4,0,7
100142,100142,High,2,4,0,4
100143,100143,Medium,1,4,0,1
100144,100144,High,2,5,0,7
100145,100145,Low,0,6,0,9
100146,100146,High,2,5,0,4
100147,100147,High,2,5,0,4
100148,100148,Low,0,1,0,1
100149,100149,High,2,6,0,5
100150,100150,High,2,8,1,6
100151,100151,Medium,1,6,0,6
100152,100152,Low,0,4,0,3
100153,100153,Medium,1,1,0,4
100154,100154,Low,0,1,0,3
100155,100155,Medium,1,3,0,2
100156,100156,Medium,1,3,0,4
100157,100157,High,2,6,0,7
100158,100158,High,2,5,0,5
100159,100159,High,2,4,0,4
100160,100160,Medium,1,4,0,9
100161,100161,Low,0,1,0,5
100162,100162,Low,0,5,0,5
100163,100163,High,2,3,0,2
100164,100164,Low,0,4,0,5
100165,100165,High,2,6,0,5
100166,100166,High,2,3,0,5
100167,100167,High,2,1,0,2
100168,100168,Low,0,3,0,1
100169,100169,Medium,1,2,0,5
100170,100170,High,2,3,0,4
100171,100171,Low,0,5,0,5
100172,100172,Medium,1,4,0,7
100173,100173,Medium,1,3,0,7
100174,100174,Low,0,3,0,6
100175,100175,Medium,1,6,0,3
100176,100176,High,2,5,0,8
100177,100177,High,2,6,0,5
100178,100178,Low,0,3,0,4
100179,100179,Low,0,3,0,5
100180,100180,Low,0,2,0,2
100181,100181,High,2,7,1,9
100182,100182,Low,0,4,0,1
100183,100183,High,2,2,0,3
100184,100184,Low,0,1,0,5
100185,100185,Medium,1,6,0,7
100186,100186,Low,0,4,0,1
100187,100187,Low,0,2,0,1
100188,100188,Medium,1,2,0,1
100189,100189,Medium,1,1,0,4
100190,100190,Low,0,3,0,8
100191,100191,Low,0,2,0,1
100192,100192,High,2,4,0,9
100193,100193,Low,0,3,0,1
100194,100194,Low,0,1,0,2
100195,100195,Medium,1,1,0,5
100196,100196,Medium,1,2,0,3
100197,100197,Low,0,3,0,6
100198,100198,Low,0,1,0,6
100199,100199,Medium,1,4,0,3
100200,100200,High,2,6,0,5
100201,100201,Medium,1,6,0,10
100202,100202,Low,0,2,0,2
100203,100203,Medium,1,4,0,7
100204,100204,Low,0,4,0,6
100205,100205,Medium,1,6,0,6
100206,100206,Medium,1,4,0,6
100207,100207,Medium,1,4,0,5
100208,100208,Low,0,4,0,4
100209,100209,Medium,1,4,0,6
100210,100210,Medium,1,2,0,7
100211,100211,Medium,1,4,0,7
100212,100212,Medium,1,5,0,6
100213,100213,Low,0,6,0,1
100214,100214,Medium,1,4,0,7
100215,100215,Low,0,3,0,6
100216,100216,Low,0,4,0,6
100217,100217,High,2,5,0,1
100218,100218,High,2,2,0,2
100219,100219,Low,0,2,0,3
100220,100220,Low,0,4,0,6
100221,100221,High,2,7,1,9
100222,100222,Low,0,1,0,1
100223,100223,High,2,3,0,4
100224,100224,High,2,2,0,3
100225,100225,Medium,1,3,0,5
100226,100226,Medium,1,1,0,1
100227,100227,Low,0,2,0,6
100228,100228,Medium,1,5,0,7
100229,100229,Low,0,1,0,3
100230,100230,Medium,1,1,0,1
100231,100231,Low,0,1,0,2
100232,100232,High,2,4,0,3
100233,100233,Low,0,3,0,7
100234,100234,Low,0,2,0,1
100235,100235,High,2,3,0,5
100236,100236,Medium,1,1,0,5
100237,100237,Medium,1,2,0,3
100238,100238,Medium,1,1,0,4
100239,100239,Medium,1,6,0,7
100240,100240,Medium,1,3,0,4
100241,100241,Low,0,2,0,2
100242,100242,High,2,6,0,3
100243,100243,Medium,1,5,0,2
100244,100244,Medium,1,3,0,5
100245,100245,Medium,1,7,1,10
100246,100246,High,2,6,0,1
100247,100247,High,2,2,0,5
100248,100248,Medium,1,2,0,2
100249,100249,Medium,1,6,0,4
100250,100250,Low,0,4,0,3
100251,100251,High,2,6,0,3
100252,100252,Medium,1,5,0,3
100253,100253,Low,0,3,0,2
100254,100254,Medium,1,4,0,3
100255,100255,High,2,7,1,6
100256,100256,Low,0,1,0,1
100257,100257,High,2,1,0,2
100258,100258,Low,0,1,0,2
100259,100259,High,2,2,0,2
100260,100260,Medium,1,2,0,3
100261,100261,Medium,1,5,0,4
100262,100262,Low,0,1,0,3
100263,100263,Low,0,3,0,3
100264,100264,High,2,7,1,6
100265,100265,Low,0,4,0,2
100266,100266,Low,0,3,0,2
100267,100267,Medium,1,5,0,3
100268,100268,Medium,1,6,0,7
100269,100269,Medium,1,1,0,3
100270,100270,Low,0,1,0,1
100271,100271,Low,0,5,0,7
100272,100272,High,2,5,0,4
100273,100273,High,2,3,0,9
100274,100274,Medium,1,8,1,8
100275,100275,Low,0,4,0,6
100276,100276,High,2,1,0,1
100277,100277,High,2,1,0,4
100278,100278,High,2,4,0,7
100279,100279,High,2,5,0,1
100280,100280,Medium,1,2,0,3
100281,100281,Low,0,1,0,2
100282,100282,Medium,1,5,0,4
100283,100283,Medium,1,3,0,4
100284,100284,High,2,4,0,8
100285,100285,Low,0,1,0,1
100286,100286,High,2,4,0,6
100287,100287,Medium,1,1,0,4
100288,100288,Medium,1,6,0,6
100289,100289,Medium,1,2,0,4
100290,100290,High,2,2,0,1
100291,100291,High,2,3,0,3
100292,100292,Medium,1,6,0,6
100293,100293,High,2,4,0,5
100294,100294,Medium,1,3,0,1
100295,100295,High,2,5,0,6
100296,100296,Medium,1,5,0,3
100297,100297,Medium,1,5,0,7
100298,100298,High,2,6,0,7
100299,100299,Medium,1,2,0,5
100300,100300,Low,0,5,0,8
100301,100301,Medium,1,6,0,4
100302,100302,Medium,1,3,0,2
100303,100303,Medium,1,7,1,4
100304,100304,Low,0,1,0,2
100305,100305,High,2,9,1,3
100306,100306,Low,0,1,0,1
100307,100307,Low,0,5,0,6
100308,100308,Medium,1,3,0,5
100309,100309,Low,0,2,0,2
100310,100310,Low,0,4,0,3
100311,100311,Low,0,1,0,3
100312,100312,Medium,1,4,0,5
100313,100313,Low,0,2,0,5
100314,100314,Low,0,1,0,1
100315,100315,Low,0,2,0,5
100316,100316,Medium,1,3,0,4
100317,100317,Medium,1,3,0,1
100318,100318,Low,0,2,0,6
100319,100319,Medium,1,4,0,4
100320,100320,High,2,7,1,9
100321,100321,Medium,1,2,0,5
100322,100322,Medium,1,5,0,5
100323,100323,Low,0,1,0,3
100324,100324,High,2,2,0,4
100325,100325,Low,0,5,0,4
100326,100326,Medium,1,3,0,6
100327,100327,Low,0,4,0,7
100328,100328,Low,0,2,0,5
100329,100329,Low,0,1,0,3
100330,100330,Low,0,5,0,3
100331,100331,Medium,1,3,0,4
100332,100332,High,2,7,1,6
100333,100333,Medium,1,5,0,6
100334,100334,High,2,8,1,7
100335,100335,Medium,1,5,0,3
100336,100336,Medium,1,4,0,2
100337,100337,Low,0,2,0,4
100338,100338,High,2,4,0,7
100339,100339,Low,0,5,0,1
100340,100340,Low,0,4,0,5
100341,100341,Medium,1,3,0,1
100342,100342,Medium,1,3,0,1
100343,100343,High,2,8,1,9
100344,100344,Medium,1,2,0,1
100345,100345,High,2,3,0,6
100346,100346,High,2,8,1,5
100347,100347,Low,0,2,0,3
100348,100348,Low,0,3,0,6
100349,100349,Low,0,2,0,2
100350,100350,Medium,1,2,0,4
100351,100351,Medium,1,1,0,2
100352,100352,Low,0,1,0,4
100353,100353,Medium,1,3,0,6
100354,100354,High,2,3,0,4
100355,100355,Low,0,1,0,1
100356,100356,Medium,1,2,0,5
100357,100357,Medium,1,9,1,4
100358,100358,Low,0,1,0,6
100359,100359,High,2,4,0,6
100360,100360,High,2,9,1,10
100361,100361,Medium,1,6,0,4
100362,100362,Low,0,3,0,1
100363,100363,High,2,4,0,4
100364,100364,High,2,9,1,8
100365,100365,Medium,1,6,0,5
100366,100366,Medium,1,5,0,5
100367,100367,Medium,1,4,0,6
100368,100368,High,2,8,1,4
100369,100369,High,2,4,0,5
100370,100370,High,2,6,0,4
100371,100371,Low,0,2,0,3
100372,100372,Low,0,1,0,3
100373,100373,Medium,1,1,0,2
100374,100374,High,2,5,0,3
100375,100375,High,2,4,0,1
100376,100376,High,2,2,0,4
100377,100377,Low,0,5,0,4
100378,100378,Low,0,2,0,4
100379,100379,Low,0,3,0,4
100380,100380,Medium,1,5,0,5
100381,100381,High,2,7,1,4
100382,100382,Low,0,1,0,5
100383,100383,High,2,5,0,3
100384,100384,Medium,1,3,0,3
100385,100385,Low,0,6,0,3
100386,100386,Medium,1,2,0,1
100387,100387,Low,0,2,0,4
100388,100388,Medium,1,3,0,3
100389,100389,Low,0,1,0,2
100390,100390,Medium,1,3,0,5
100391,100391,Medium,1,4,0,4
100392,100392,High,2,3,0,5
100393,100393,Medium,1,3,0,7
100394,100394,Low,0,1,0,4
100395,100395,Medium,1,5,0,4
100396,100396,High,2,4,0,7
100397,100397,High,2,5,0,8
100398,100398,High,2,5,0,9
100399,100399,High,2,5,0,6
100400,100400,High,2,6,0,4
100401,100401,Low,0,1,0,2
100402,100402,High,2,4,0,6
100403,100403,Medium,1,4,0,6
100404,100404,Medium,1,4,0,5
100405,100405,Medium,1,3,0,3
100406,100406,Medium,1,6,0,6
100407,100407,Medium,1,3,0,6
100408,100408,High,2,6,0,4
100409,100409,Low,0,1,0,3
100410,100410,High,2,5,0,4
100411,100411,Medium,1,4,0,6
100412,100412,Low,0,3,0,4
100413,100413,Medium,1,5,0,3
100414,100414,High,2,5,0,1
100415,100415,High,2,5,0,8
100416,100416,Low,0,3,0,6
100417,100417,High,2,4,0,5
100418,100418,Medium,1,4,0,5
100419,100419,Medium,1,4,0,5
100420,100420,Medium,1,4,0,4
100421,100421,Medium,1,4,0,3
100422,100422,Medium,1,5,0,4
100423,100423,Medium,1,6,0,6
100424,100424,High,2,3,0,9
100425,100425,Low,0,3,0,4
100426,100426,High,2,3,0,4
100427,100427,Low,0,5,0,4
100428,100428,High,2,5,0,8
100429,100429,Low,0,1,0,2
100430,100430,High,2,3,0,5
100431,100431,Medium,1,4,0,5
100432,100432,Low,0,5,0,7
100433,100433,High,2,9,1,6
100434,100434,Low,0,3,0,1
100435,100435,High,2,4,0,6
100436,100436,Low,0,2,0,2
100437,100437,Medium,1,2,0,3
100438,100438,Medium,1,1,0,2
100439,100439,High,2,6,0,4
100440,100440,High,2,2,0,1
100441,100441,High,2,6,0,7
100442,100442,Medium,1,3,0,6
100443,100443,Low,0,4,0,5
100444,100444,Low,0,5,0,2
100445,100445,Medium,1,3,0,4
100446,100446,Low,0,3,0,6
100447,100447,Low,0,3,0,6
100448,100448,Medium,1,3,0,6
100449,100449,Low,0,2,0,6
100450,100450,Medium,1,4,0,6
100451,100451,Medium,1,1,0,5
100452,100452,Medium,1,2,0,5
100453,100453,Low,0,3,0,4
100454,100454,Medium,1,5,0,2
100455,100455,High,2,1,0,7
100456,100456,Low,0,4,0,1
100457,100457,High,2,6,0,8
100458,100458,High,2,1,0,1
100459,100459,High,2,5,0,10
100460,100460,High,2,2,0,1
100461,100461,High,2,7,1,3
100462,100462,Low,0,1,0,8
100463,100463,Low,0,3,0,5
100464,100464,Low,0,4,0,5
100465,100465,High,2,4,0,1
100466,100466,Medium,1,4,0,4
100467,100467,Medium,1,5,0,6
100468,100468,Medium,1,2,0,5
100469,100469,High,2,6,0,3
100470,100470,High,2,6,0,2
100471,100471,High,2,6,0,4
100472,100472,Medium,1,1,0,4
100473,100473,Low,0,2,0,6
100474,100474,Low,0,1,0,2
100475,100475,Low,0,2,0,3
100476,100476,Medium,1,5,0,3
100477,100477,Low,0,3,0,1
100478,100478,Medium,1,6,0,1
100479,100479,High,2,4,0,4
100480,100480,Medium,1,1,0,6
100481,100481,Low,0,4,0,6
100482,100482,Low,0,1,0,3
100483,100483,Medium,1,2,0,4
100484,100484,Low,0,3,0,4
100485,100485,Medium,1,5,0,6
100486,100486,High,2,8,1,5
100487,100487,Medium,1,3,0,4
100488,100488,Medium,1,2,0,3
100489,100489,High,2,5,0,5
100490,100490,Medium,1,4,0,5
100491,100491,Low,0,2,0,3
100492,100492,High,2,6,0,4
100493,100493,High,2,8,1,6
100494,100494,Medium,1,1,0,6
100495,100495,Medium,1,4,0,3
100496,100496,Medium,1,3,0,3
100497,100497,Medium,1,2,0,2
100498,100498,Low,0,1,0,8
100499,100499,Medium,1,3,0,6
100500,100500,Medium,1,5,0,4
100501,100501,Medium,1,4,0,2
100502,100502,Medium,1,4,0,6
100503,100503,Low,0,2,0,1
100504,100504,Medium,1,4,0,4
100505,100505,Medium,1,1,0,4
100506,100506,High,2,7,1,4
100507,100507,Medium,1,5,0,2
100508,100508,Medium,1,3,0,8
100509,100509,Low,0,4,0,5
100510,100510,Medium,1,6,0,7
100511,100511,Medium,1,1,0,4
100512,100512,Medium,1,1,0,1
100513,100513,Medium,1,2,0,3
100514,100514,Low,0,3,0,2
100515,100515,Medium,1,5,0,1
100516,100516,Low,0,1,0,3
100517,100517,Medium,1,2,0,2
100518,100518,Medium,1,4,0,5
100519,100519,Medium,1,4,0,3
100520,100520,High,2,4,0,6
100521,100521,High,2,8,1,9
100522,100522,Medium,1,2,0,2
100523,100523,Medium,1,4,0,1
100524,100524,High,2,5,0,5
100525,100525,Medium,1,2,0,4
100526,100526,Low,0,3,0,5
100527,100527,High,2,5,0,7
100528,100528,High,2,5,0,3
100529,100529,High,2,5,0,5
100530,100530,Medium,1,4,0,3
100531,100531,Low,0,4,0,1
100532,100532,Medium,1,1,0,6
100533,100533,Low,0,4,0,3
100534,100534,High,2,7,1,7
100535,100535,Medium,1,1,0,4
100536,100536,Low,0,2,0,5
100537,100537,Low,0,4,0,3
100538,100538,Low,0,3,0,6
100539,100539,Medium,1,3,0,6
100540,100540,Medium,1,5,0,4
100541,100541,Medium,1,6,0,4
100542,100542,Medium,1,4,0,6
100543,100543,Medium,1,2,0,2
100544,100544,High,2,8,1,5
100545,100545,High,2,2,0,3
100546,100546,High,2,2,0,7
100547,100547,Medium,1,5,0,2
100548,100548,Low,0,3,0,1
100549,100549,Medium,1,3,0,4
100550,100550,High,2,3,0,3
100551,100551,Medium,1,2,0,4
100552,100552,High,2,4,0,1
100553,100553,Low,0,3,0,5
100554,100554,Medium,1,1,0,6
100555,100555,Low,0,8,1,3
100556,100556,High,2,2,0,7
100557,100557,High,2,10,1,8
100558,100558,Medium,1,3,0,4
100559,100559,Medium,1,3,0,2
100560,100560,High,2,3,0,6
100561,100561,Medium,1,3,0,4
100562,100562,Medium,1,3,0,2
100563,100563,Low,0,5,0,6
100564,100564,High,2,3,0,3
100565,100565,Medium,1,2,0,4
100566,100566,Medium,1,5,0,1
100567,100567,Medium,1,4,0,4
100568,100568,Medium,1,2,0,6
100569,100569,Low,0,3,0,7
100570,100570,Low,0,1,0,4
100571,100571,Low,0,4,0,2
100572,100572,Medium,1,4,0,7
100573,100573,Medium,1,1,0,6
100574,100574,Medium,1,2,0,4
100575,100575,High,2,6,0,7
100576,100576,Medium,1,2,0,4
100577,100577,High,2,9,1,10
100578,100578,Low,0,1,0,6
100579,100579,High,2,5,0,4
100580,100580,Medium,1,3,0,4
100581,100581,Medium,1,2,0,2
100582,100582,Medium,1,3,0,3
100583,100583,Medium,1,2,0,3
100584,100584,Low,0,1,0,3
100585,100585,Medium,1,4,0,1
100586,100586,High,2,3,0,6
100587,100587,High,2,8,1,10
100588,100588,Low,0,3,0,6
100589,100589,Medium,1,3,0,6
100590,100590,Low,0,3,0,6
100591,100591,Low,0,4,0,5
100592,100592,High,2,7,1,5
100593,100593,Low,0,4,0,3
100594,100594,Medium,1,3,0,5
100595,100595,Medium,1,2,0,4
100596,100596,Low,0,2,0,4
100597,100597,Low,0,3,0,4
100598,100598,High,2,2,0,2
100599,100599,High,2,4,0,5
100600,100600,High,2,1,0,8
100601,100601,High,2,9,1,10
100602,100602,Low,0,3,0,1
100603,100603,Medium,1,4,0,3
100604,100604,Medium,1,1,0,1
100605,100605,Medium,1,4,0,3
100606,100606,Medium,1,5,0,3
100607,100607,High,2,4,0,1
100608,100608,Medium,1,4,0,3
100609,100609,High,2,8,1,6
100610,100610,Low,0,1,0,3
100611,100611,Low,0,1,0,5
100612,100612,Medium,1,3,0,7
100613,100613,Medium,1,4,0,2
100614,100614,High,2,6,0,3
100615,100615,Medium,1,2,0,5
100616,100616,High,2,6,0,2
100617,100617,High,2,8,1,6
100618,100618,High,2,7,1,3
100619,100619,Low,0,1,0,2
100620,100620,Low,0,1,0,7
100621,100621,Medium,1,2,0,4
100622,100622,Low,0,2,0,3
100623,100623,Low,0,2,0,4
100624,100624,Medium,1,4,0,6
100625,100625,Low,0,6,0,4
100626,100626,Low,0,4,0,3
100627,100627,High,2,3,0,2
100628,100628,Low,0,5,0,5
100629,100629,Low,0,1,0,4
100630,100630,Medium,1,1,0,6
100631,100631,Medium,1,4,0,3
100632,100632,Low,0,2,0,5
100633,100633,High,2,3,0,3
100634,100634,Medium,1,2,0,1
100635,100635,Low,0,3,0,8
100636,100636,High,2,5,0,3
100637,100637,Low,0,5,0,6
100638,100638,Low,0,1,0,2
100639,100639,High,2,1,0,1
100640,100640,Medium,1,3,0,6
100641,100641,High,2,7,1,4
100642,100642,Medium,1,2,0,2
100643,100643,Medium,1,1,0,5
100644,100644,Low,0,5,0,2
100645,100645,Low,0,2,0,2
100646,100646,Medium,1,4,0,6
100647,100647,High,2,3,0,7
100648,100648,Medium,1,7,1,4
100649,100649,Medium,1,3,0,2
100650,100650,Low,0,1,0,4
100651,100651,High,2,10,1,7
100652,100652,Low,0,1,0,3
100653,100653,High,2,2,0,1
100654,100654,Low,0,1,0,1
100655,100655,High,2,5,0,3
100656,100656,Medium,1,4,0,4
100657,100657,High,2,10,1,10
100658,100658,High,2,8,1,8
100659,100659,Medium,1,3,0,8
100660,100660,Low,0,3,0,4
100661,100661,Medium,1,3,0,4
100662,100662,Low,0,2,0,3
100663,100663,Low,0,4,0,1
100664,100664,Medium,1,2,0,1
100665,100665,Low,0,2,0,2
100666,100666,Medium,1,3,0,2
100667,100667,Medium,1,5,0,7
100668,100668,High,2,8,1,6
100669,100669,Medium,1,2,0,5
100670,100670,High,2,4,0,7
100671,100671,Medium,1,3,0,6
100672,100672,Low,0,4,0,5
100673,100673,High,2,4,0,5
100674,100674,Medium,1,3,0,5
100675,100675,Medium,1,8,1,9
100676,100676,Medium,1,3,0,4
100677,100677,Medium,1,2,0,3
100678,100678,Medium,1,5,0,3
100679,100679,Low,0,4,0,5
100680,100680,High,2,4,0,4
100681,100681,Medium,1,3,0,6
100682,100682,High,2,6,0,3
100683,100683,Low,0,1,0,3
100684,100684,Low,0,2,0,2
100685,100685,Medium,1,5,0,4
100686,100686,Medium,1,3,0,3
100687,100687,Medium,1,5,0,6
100688,100688,Low,0,3,0,4
100689,100689,High,2,6,0,10
100690,100690,High,2,7,1,9
100691,100691,High,2,5,0,4
100692,100692,Medium,1,1,0,1
100693,100693,Medium,1,2,0,3
100694,100694,High,2,3,0,2
100695,100695,Low,0,3,0,2
100696,100696,Low,0,1,0,5
100697,100697,Low,0,1,0,6
100698,100698,Low,0,3,0,3
100699,100699,Low,0,2,0,3
100700,100700,Low,0,3,0,6
100701,100701,Low,0,1,0,2
100702,100702,High,2,7,1,7
100703,100703,Low,0,1,0,2
100704,100704,Low,0,3,0,4
100705,100705,High,2,3,0,4
100706,100706,High,2,7,1,6
100707,100707,Medium,1,6,0,3
100708,100708,High,2,6,0,3
100709,100709,High,2,4,0,4
100710,100710,Medium,1,2,0,3
100711,100711,Medium,1,3,0,3
100712,100712,Medium,1,2,0,3
100713,100713,Low,0,3,0,6
100714,100714,Low,0,2,0,3
100715,100715,High,2,4,0,6
100716,100716,High,2,1,0,3
100717,100717,Medium,1,1,0,6
100718,100718,Medium,1,2,0,2
100719,100719,Low,0,1,0,2
100720,100720,Low,0,2,0,5
100721,100721,High,2,8,1,9
100722,100722,High,2,1,0,3
100723,100723,Medium,1,4,0,4
100724,100724,Medium,1,2,0,5
100725,100725,High,2,8,1,9
100726,100726,Medium,1,5,0,5
100727,100727,High,2,3,0,5
100728,100728,Medium,1,4,0,7
100729,100729,Medium,1,2,0,5
100730,100730,Low,0,1,0,3
100731,100731,Low,0,5,0,2
100732,100732,Medium,1,2,0,2
100733,100733,Medium,1,3,0,4
100734,100734,Medium,1,3,0,5
100735,100735,Low,0,1,0,7
100736,100736,High,2,3,0,4
100737,100737,Low,0,6,0,5
100738,100738,High,2,1,0,5
100739,100739,High,2,6,0,4
100740,100740,Medium,1,6,0,4
100741,100741,Medium,1,1,0,5
100742,100742,High,2,5,0,4
100743,100743,Low,0,2,0,5
100744,100744,Medium,1,3,0,2
100745,100745,Medium,1,4,0,1
100746,100746,High,2,3,0,5
100747,100747,High,2,4,0,4
100748,100748,Medium,1,5,0,6
100749,100749,Medium,1,5,0,5
100750,100750,Medium,1,3,0,9
100751,100751,High,2,7,1,4
100752,100752,High,2,4,0,4
100753,100753,High,2,7,1,10
100754,100754,Medium,1,1,0,6
100755,100755,High,2,1,0,3
100756,100756,Medium,1,3,0,5
100757,100757,Low,0,4,0,1
100758,100758,Low,0,2,0,5
100759,100759,High,2,1,0,3
100760,100760,High,2,8,1,7
100761,100761,Medium,1,9,1,5
100762,100762,Medium,1,3,0,2
100763,100763,Medium,1,4,0,7
100764,100764,High,2,3,0,3
100765,100765,Medium,1,1,0,3
100766,100766,Low,0,5,0,5
100767,100767,Medium,1,3,0,2
100768,100768,High,2,2,0,1
100769,100769,Low,0,4,0,4
100770,100770,Medium,1,3,0,5
100771,100771,High,2,3,0,1
100772,100772,High,2,4,0,4
100773,100773,Medium,1,2,0,5
100774,100774,Medium,1,6,0,2
100775,100775,Low,0,2,0,3
100776,100776,High,2,5,0,8
100777,100777,High,2,5,0,8
100778,100778,Low,0,4,0,7
100779,100779,Medium,1,3,0,7
100780,100780,Medium,1,4,0,1
100781,100781,Low,0,5,0,7
100782,100782,Low,0,2,0,5
100783,100783,High,2,1,0,4
100784,100784,Low,0,1,0,2
100785,100785,Low,0,2,0,6
100786,100786,High,2,5,0,3
100787,100787,Medium,1,2,0,1
100788,100788,Low,0,6,0,3
100789,100789,Low,0,1,0,7
100790,100790,High,2,3,0,1
100791,100791,Medium,1,2,0,2
100792,100792,Medium,1,6,0,8
100793,100793,Medium,1,2,0,4
100794,100794,Medium,1,5,0,1
100795,100795,Medium,1,7,1,7
100796,100796,Medium,1,7,1,7
100797,100797,Medium,1,3,0,2
100798,100798,Low,0,1,0,2
100799,100799,Medium,1,5,0,6
100800,100800,Medium,1,1,0,4
100801,100801,Low,0,1,0,2
100802,100802,Low,0,2,0,4
100803,100803,Medium,1,3,0,4
100804,100804,Medium,1,4,0,4
100805,100805,Low,0,1,0,5
100806,100806,Medium,1,8,1,4
100807,100807,High,2,2,0,1
100808,100808,Medium,1,3,0,6
