perfil_id,Student_ID,Major_Category,Year_of_Study,Year_Encoded,Prompt_Engineering_Skill,Prompt_Skill_Encoded
100043,100043,STEM,Freshman,1,Beginner,1
100044,100044,Medical,Senior,4,Beginner,1
100045,100045,STEM,Junior,3,Intermediate,2
100046,100046,Business,Junior,3,Intermediate,2
100047,100047,Humanities,Sophomore,2,Intermediate,2
100048,100048,Business,Junior,3,Beginner,1
100049,100049,Business,Senior,4,Intermediate,2
100050,100050,STEM,Senior,4,Intermediate,2
100051,100051,Medical,Sophomore,2,Advanced,3
100052,100052,Arts,Senior,4,Beginner,1
100053,100053,Medical,Sophomore,2,Intermediate,2
100054,100054,Medical,Senior,4,Intermediate,2
100055,100055,Business,Junior,3,Beginner,1
100056,100056,Medical,Senior,4,Beginner,1
100057,100057,STEM,Junior,3,Advanced,3
100058,100058,STEM,Sophomore,2,Advanced,3
100059,100059,STEM,Junior,3,Beginner,1
100060,100060,Humanities,Sophomore,2,Beginner,1
100061,100061,Humanities,Sophomore,2,Advanced,3
100062,100062,STEM,Freshman,1,Intermediate,2
100063,100063,Arts,Senior,4,Beginner,1
100064,100064,Humanities,Freshman,1,Intermediate,2
100065,100065,STEM,Graduate,5,Intermediate,2
100066,100066,Business,Freshman,1,Intermediate,2
100067,100067,STEM,Graduate,5,Intermediate,2
100068,100068,Arts,Graduate,5,Beginner,1
100069,100069,STEM,Sophomore,2,Advanced,3
100070,100070,Medical,Graduate,5,Beginner,1
100071,100071,Arts,Graduate,5,Beginner,1
100072,100072,STEM,Freshman,1,Beginner,1
100073,100073,STEM,Graduate,5,Advanced,3
100074,100074,Arts,Freshman,1,Advanced,3
100075,100075,Business,Freshman,1,Beginner,1
100076,100076,Business,Junior,3,Beginner,1
100077,100077,Arts,Freshman,1,Beginner,1
100078,100078,STEM,Freshman,1,Advanced,3
100079,100079,Humanities,Graduate,5,Intermediate,2
100080,100080,STEM,Graduate,5,Beginner,1
100081,100081,Arts,Senior,4,Beginner,1
100082,100082,Business,Junior,3,Beginner,1
100083,100083,Humanities,Graduate,5,Beginner,1
100084,100084,STEM,Freshman,1,Intermediate,2
100085,100085,Humanities,Graduate,5,Advanced,3
100086,100086,Humanities,Sophomore,2,Intermediate,2
100087,100087,Business,Graduate,5,Intermediate,2
100088,100088,Business,Senior,4,Beginner,1
100089,100089,Medical,Graduate,5,Beginner,1
100090,100090,Humanities,Graduate,5,Beginner,1
100091,100091,STEM,Graduate,5,Intermediate,2
100092,100092,Business,Junior,3,Intermediate,2
100093,100093,Arts,Senior,4,Intermediate,2
100094,100094,Business,Senior,4,Intermediate,2
100095,100095,Arts,Freshman,1,Beginner,1
100096,100096,Humanities,Senior,4,Beginner,1
100097,100097,Business,Freshman,1,Intermediate,2
100098,100098,Humanities,Graduate,5,Beginner,1
100099,100099,STEM,Freshman,1,Advanced,3
100100,100100,STEM,Graduate,5,Advanced,3
100101,100101,STEM,Sophomore,2,Intermediate,2
100102,100102,Business,Freshman,1,Intermediate,2
100103,100103,Humanities,Graduate,5,Beginner,1
100104,100104,Business,Freshman,1,Intermediate,2
100105,100105,Medical,Junior,3,Intermediate,2
100106,100106,STEM,Senior,4,Intermediate,2
100107,100107,Humanities,Sophomore,2,Advanced,3
100108,100108,Arts,Junior,3,Beginner,1
100109,100109,STEM,Senior,4,Intermediate,2
100110,100110,STEM,Graduate,5,Advanced,3
100111,100111,STEM,Freshman,1,Beginner,1
100112,100112,STEM,Freshman,1,Beginner,1
100113,100113,Medical,Junior,3,Intermediate,2
100114,100114,Arts,Sophomore,2,Beginner,1
100115,100115,Business,Sophomore,2,Advanced,3
100116,100116,Medical,Sophomore,2,Beginner,1
100117,100117,Arts,Junior,3,Advanced,3
100118,100118,STEM,Graduate,5,Intermediate,2
100119,100119,Medical,Freshman,1,Beginner,1
100120,100120,Business,Freshman,1,Advanced,3
100121,100121,Arts,Senior,4,Intermediate,2
100122,100122,Medical,Freshman,1,Beginner,1
100123,100123,Humanities,Senior,4,Beginner,1
100124,100124,STEM,Sophomore,2,Advanced,3
100125,100125,STEM,Sophomore,2,Intermediate,2
100126,100126,Humanities,Sophomore,2,Beginner,1
100127,100127,Arts,Sophomore,2,Intermediate,2
100128,100128,Arts,Senior,4,Beginner,1
100129,100129,STEM,Graduate,5,Intermediate,2
100130,100130,Business,Junior,3,Intermediate,2
100131,100131,Humanities,Junior,3,Beginner,1
100132,100132,STEM,Freshman,1,Advanced,3
100133,100133,STEM,Senior,4,Beginner,1
100134,100134,Humanities,Junior,3,Advanced,3
100135,100135,Medical,Freshman,1,Beginner,1
100136,100136,Humanities,Freshman,1,Beginner,1
100137,100137,Business,Freshman,1,Beginner,1
100138,100138,Business,Freshman,1,Advanced,3
100139,100139,Humanities,Senior,4,Intermediate,2
100140,100140,Medical,Graduate,5,Beginner,1
100141,100141,Medical,Senior,4,Beginner,1
100142,100142,STEM,Junior,3,Advanced,3
100143,100143,Humanities,Sophomore,2,Advanced,3
100144,100144,Humanities,Sophomore,2,Beginner,1
100145,100145,STEM,Junior,3,Intermediate,2
100146,100146,STEM,Sophomore,2,Advanced,3
100147,100147,Business,Sophomore,2,Intermediate,2
100148,100148,Business,Junior,3,Beginner,1
100149,100149,STEM,Sophomore,2,Beginner,1
100150,100150,STEM,Freshman,1,Advanced,3
100151,100151,Medical,Freshman,1,Beginner,1
100152,100152,STEM,Sophomore,2,Intermediate,2
100153,100153,STEM,Junior,3,Advanced,3
100154,100154,Humanities,Sophomore,2,Intermediate,2
100155,100155,Medical,Freshman,1,Intermediate,2
100156,100156,STEM,Sophomore,2,Advanced,3
100157,100157,Business,Freshman,1,Beginner,1
100158,100158,Arts,Graduate,5,Beginner,1
100159,100159,STEM,Sophomore,2,Beginner,1
100160,100160,Business,Freshman,1,Intermediate,2
100161,100161,Humanities,Senior,4,Beginner,1
100162,100162,Business,Sophomore,2,Beginner,1
100163,100163,Business,Junior,3,Beginner,1
100164,100164,Business,Freshman,1,Intermediate,2
100165,100165,STEM,Graduate,5,Beginner,1
100166,100166,Arts,Graduate,5,Beginner,1
100167,100167,Humanities,Senior,4,Beginner,1
100168,100168,STEM,Senior,4,Intermediate,2
100169,100169,STEM,Junior,3,Intermediate,2
100170,100170,Business,Graduate,5,Intermediate,2
100171,100171,Business,Junior,3,Advanced,3
100172,100172,STEM,Sophomore,2,Intermediate,2
100173,100173,Business,Freshman,1,Advanced,3
100174,100174,STEM,Freshman,1,Beginner,1
100175,100175,Business,Junior,3,Intermediate,2
100176,100176,STEM,Sophomore,2,Beginner,1
100177,100177,Business,Senior,4,Advanced,3
100178,100178,Humanities,Sophomore,2,Beginner,1
100179,100179,Medical,Graduate,5,Beginner,1
100180,100180,STEM,Junior,3,Advanced,3
100181,100181,Humanities,Junior,3,Advanced,3
100182,100182,STEM,Junior,3,Beginner,1
100183,100183,Medical,Graduate,5,Advanced,3
100184,100184,Medical,Freshman,1,Beginner,1
100185,100185,STEM,Freshman,1,Intermediate,2
100186,100186,Business,Senior,4,Beginner,1
100187,100187,Arts,Senior,4,Intermediate,2
100188,100188,Business,Junior,3,Intermediate,2
100189,100189,Business,Sophomore,2,Beginner,1
100190,100190,STEM,Sophomore,2,Intermediate,2
100191,100191,STEM,Sophomore,2,Intermediate,2
100192,100192,Medical,Graduate,5,Intermediate,2
100193,100193,Medical,Sophomore,2,Beginner,1
100194,100194,Business,Senior,4,Advanced,3
100195,100195,Humanities,Senior,4,Beginner,1
100196,100196,Humanities,Freshman,1,Intermediate,2
100197,100197,Business,Freshman,1,Beginner,1
100198,100198,Medical,Sophomore,2,Intermediate,2
100199,100199,Medical,Senior,4,Beginner,1
100200,100200,Arts,Sophomore,2,Advanced,3
100201,100201,Business,Freshman,1,Beginner,1
100202,100202,STEM,Sophomore,2,Advanced,3
100203,100203,STEM,Freshman,1,Intermediate,2
100204,100204,Medical,Freshman,1,Beginner,1
100205,100205,Business,Sophomore,2,Beginner,1
100206,100206,STEM,Freshman,1,Intermediate,2
100207,100207,STEM,Senior,4,Beginner,1
100208,100208,Business,Sophomore,2,Beginner,1
100209,100209,STEM,Senior,4,Beginner,1
100210,100210,STEM,Junior,3,Advanced,3
100211,100211,Business,Graduate,5,Advanced,3
100212,100212,Business,Freshman,1,Advanced,3
100213,100213,Business,Freshman,1,Advanced,3
100214,100214,STEM,Graduate,5,Beginner,1
100215,100215,Business,Senior,4,Advanced,3
100216,100216,STEM,Freshman,1,Intermediate,2
100217,100217,Humanities,Freshman,1,Intermediate,2
100218,100218,Business,Graduate,5,Beginner,1
100219,100219,Business,Freshman,1,Beginner,1
100220,100220,Arts,Graduate,5,Intermediate,2
100221,100221,Business,Graduate,5,Advanced,3
100222,100222,Business,Sophomore,2,Beginner,1
100223,100223,STEM,Senior,4,Advanced,3
100224,100224,Humanities,Junior,3,Beginner,1
100225,100225,STEM,Senior,4,Beginner,1
100226,100226,STEM,Sophomore,2,Beginner,1
100227,100227,Medical,Freshman,1,Advanced,3
100228,100228,Humanities,Senior,4,Beginner,1
100229,100229,Medical,Freshman,1,Beginner,1
100230,100230,Business,Graduate,5,Intermediate,2
100231,100231,Arts,Sophomore,2,Beginner,1
100232,100232,Business,Freshman,1,Intermediate,2
100233,100233,Business,Sophomore,2,Beginner,1
100234,100234,Humanities,Graduate,5,Advanced,3
100235,100235,STEM,Sophomore,2,Advanced,3
100236,100236,Business,Graduate,5,Beginner,1
100237,100237,STEM,Freshman,1,Intermediate,2
100238,100238,STEM,Junior,3,Advanced,3
100239,100239,Business,Graduate,5,Beginner,1
100240,100240,STEM,Freshman,1,Beginner,1
100241,100241,Medical,Sophomore,2,Beginner,1
100242,100242,Medical,Graduate,5,Beginner,1
100243,100243,Medical,Junior,3,Advanced,3
100244,100244,Humanities,Senior,4,Beginner,1
100245,100245,STEM,Senior,4,Intermediate,2
100246,100246,Medical,Junior,3,Beginner,1
100247,100247,Humanities,Senior,4,Beginner,1
100248,100248,Medical,Junior,3,Advanced,3
100249,100249,Medical,Senior,4,Intermediate,2
100250,100250,Arts,Freshman,1,Beginner,1
100251,100251,STEM,Graduate,5,Advanced,3
100252,100252,Humanities,Senior,4,Advanced,3
100253,100253,Arts,Sophomore,2,Beginner,1
100254,100254,Humanities,Junior,3,Intermediate,2
100255,100255,STEM,Sophomore,2,Beginner,1
100256,100256,Business,Senior,4,Intermediate,2
100257,100257,Medical,Graduate,5,Advanced,3
100258,100258,Business,Freshman,1,Advanced,3
100259,100259,Business,Graduate,5,Advanced,3
100260,100260,STEM,Freshman,1,Advanced,3
100261,100261,Business,Junior,3,Advanced,3
100262,100262,Medical,Junior,3,Intermediate,2
100263,100263,STEM,Sophomore,2,Intermediate,2
100264,100264,Business,Junior,3,Beginner,1
100265,100265,Medical,Senior,4,Intermediate,2
100266,100266,Business,Sophomore,2,Beginner,1
100267,100267,Business,Freshman,1,Intermediate,2
100268,100268,Business,Junior,3,Intermediate,2
100269,100269,Humanities,Senior,4,Intermediate,2
100270,100270,STEM,Graduate,5,Beginner,1
100271,100271,Arts,Freshman,1,Beginner,1
100272,100272,Arts,Graduate,5,Beginner,1
100273,100273,Arts,Junior,3,Beginner,1
100274,100274,Medical,Sophomore,2,Beginner,1
100275,100275,Business,Graduate,5,Intermediate,2
100276,100276,Business,Sophomore,2,Intermediate,2
100277,100277,Arts,Senior,4,Beginner,1
100278,100278,Business,Senior,4,Beginner,1
100279,100279,Business,Junior,3,Beginner,1
100280,100280,Arts,Senior,4,Beginner,1
100281,100281,Medical,Junior,3,Beginner,1
100282,100282,Humanities,Freshman,1,Beginner,1
100283,100283,Humanities,Senior,4,Advanced,3
100284,100284,STEM,Graduate,5,Intermediate,2
100285,100285,Business,Junior,3,Intermediate,2
100286,100286,STEM,Graduate,5,Intermediate,2
100287,100287,Humanities,Junior,3,Beginner,1
100288,100288,Business,Junior,3,Advanced,3
100289,100289,STEM,Senior,4,Advanced,3
100290,100290,Business,Freshman,1,Advanced,3
100291,100291,STEM,Graduate,5,Intermediate,2
100292,100292,STEM,Senior,4,Intermediate,2
100293,100293,Arts,Graduate,5,Beginner,1
100294,100294,Humanities,Junior,3,Beginner,1
100295,100295,STEM,Graduate,5,Intermediate,2
100296,100296,Business,Senior,4,Advanced,3
100297,100297,Arts,Junior,3,Advanced,3
100298,100298,STEM,Graduate,5,Advanced,3
100299,100299,Business,Junior,3,Advanced,3
100300,100300,STEM,Junior,3,Intermediate,2
100301,100301,STEM,Freshman,1,Intermediate,2
100302,100302,Business,Graduate,5,Intermediate,2
100303,100303,Business,Sophomore,2,Beginner,1
100304,100304,Business,Freshman,1,Beginner,1
100305,100305,Business,Freshman,1,Advanced,3
100306,100306,Medical,Junior,3,Beginner,1
100307,100307,Business,Sophomore,2,Beginner,1
100308,100308,Humanities,Senior,4,Intermediate,2
100309,100309,Arts,Sophomore,2,Beginner,1
100310,100310,STEM,Senior,4,Beginner,1
100311,100311,Humanities,Freshman,1,Advanced,3
100312,100312,STEM,Sophomore,2,Intermediate,2
100313,100313,STEM,Senior,4,Beginner,1
100314,100314,Medical,Sophomore,2,Intermediate,2
100315,100315,Arts,Freshman,1,Advanced,3
100316,100316,Business,Graduate,5,Beginner,1
100317,100317,Humanities,Freshman,1,Advanced,3
100318,100318,STEM,Freshman,1,Advanced,3
100319,100319,STEM,Sophomore,2,Intermediate,2
100320,100320,STEM,Freshman,1,Intermediate,2
100321,100321,Business,Freshman,1,Intermediate,2
100322,100322,Business,Senior,4,Advanced,3
100323,100323,Business,Freshman,1,Beginner,1
100324,100324,STEM,Freshman,1,Intermediate,2
100325,100325,Medical,Graduate,5,Beginner,1
100326,100326,Business,Junior,3,Beginner,1
100327,100327,Business,Freshman,1,Intermediate,2
100328,100328,Business,Junior,3,Intermediate,2
100329,100329,Humanities,Freshman,1,Intermediate,2
100330,100330,STEM,Junior,3,Intermediate,2
100331,100331,Humanities,Junior,3,Beginner,1
100332,100332,Arts,Graduate,5,Intermediate,2
100333,100333,STEM,Sophomore,2,Intermediate,2
100334,100334,STEM,Senior,4,Advanced,3
100335,100335,STEM,Freshman,1,Intermediate,2
100336,100336,STEM,Junior,3,Advanced,3
100337,100337,Arts,Sophomore,2,Advanced,3
100338,100338,Business,Junior,3,Beginner,1
100339,100339,Humanities,Sophomore,2,Advanced,3
100340,100340,STEM,Graduate,5,Beginner,1
100341,100341,Humanities,Graduate,5,Beginner,1
100342,100342,Humanities,Junior,3,Beginner,1
100343,100343,STEM,Freshman,1,Advanced,3
100344,100344,Humanities,Junior,3,Advanced,3
100345,100345,Humanities,Senior,4,Intermediate,2
100346,100346,Business,Freshman,1,Intermediate,2
100347,100347,Business,Junior,3,Intermediate,2
100348,100348,STEM,Freshman,1,Advanced,3
100349,100349,Humanities,Sophomore,2,Beginner,1
100350,100350,Business,Freshman,1,Intermediate,2
100351,100351,Business,Graduate,5,Advanced,3
100352,100352,Arts,Freshman,1,Beginner,1
100353,100353,Business,Freshman,1,Beginner,1
100354,100354,STEM,Graduate,5,Beginner,1
100355,100355,STEM,Junior,3,Beginner,1
100356,100356,Business,Senior,4,Intermediate,2
100357,100357,STEM,Sophomore,2,Beginner,1
100358,100358,Business,Junior,3,Beginner,1
100359,100359,Medical,Freshman,1,Advanced,3
100360,100360,Business,Sophomore,2,Advanced,3
100361,100361,Humanities,Junior,3,Beginner,1
100362,100362,Business,Junior,3,Beginner,1
100363,100363,Humanities,Sophomore,2,Intermediate,2
100364,100364,Business,Senior,4,Intermediate,2
100365,100365,Medical,Junior,3,Beginner,1
100366,100366,Humanities,Junior,3,Beginner,1
100367,100367,Medical,Freshman,1,Advanced,3
100368,100368,Medical,Graduate,5,Advanced,3
100369,100369,STEM,Sophomore,2,Beginner,1
100370,100370,STEM,Junior,3,Advanced,3
100371,100371,STEM,Sophomore,2,Advanced,3
100372,100372,STEM,Graduate,5,Beginner,1
100373,100373,STEM,Graduate,5,Advanced,3
100374,100374,Business,Sophomore,2,Intermediate,2
100375,100375,STEM,Senior,4,Advanced,3
100376,100376,Humanities,Freshman,1,Intermediate,2
100377,100377,Arts,Freshman,1,Advanced,3
100378,100378,STEM,Senior,4,Advanced,3
100379,100379,Arts,Freshman,1,Beginner,1
100380,100380,STEM,Freshman,1,Intermediate,2
100381,100381,STEM,Junior,3,Intermediate,2
100382,100382,Business,Senior,4,Intermediate,2
100383,100383,Business,Freshman,1,Advanced,3
100384,100384,Medical,Freshman,1,Intermediate,2
100385,100385,Business,Freshman,1,Beginner,1
100386,100386,Arts,Freshman,1,Beginner,1
100387,100387,STEM,Freshman,1,Intermediate,2
100388,100388,STEM,Graduate,5,Intermediate,2
100389,100389,Arts,Freshman,1,Beginner,1
100390,100390,Arts,Junior,3,Intermediate,2
100391,100391,Medical,Graduate,5,Intermediate,2
100392,100392,Humanities,Junior,3,Advanced,3
100393,100393,Humanities,Freshman,1,Beginner,1
100394,100394,Arts,Junior,3,Beginner,1
100395,100395,Humanities,Graduate,5,Beginner,1
100396,100396,Medical,Sophomore,2,Advanced,3
100397,100397,Arts,Sophomore,2,Intermediate,2
100398,100398,Humanities,Sophomore,2,Beginner,1
100399,100399,Arts,Junior,3,Intermediate,2
100400,100400,Arts,Sophomore,2,Beginner,1
100401,100401,STEM,Senior,4,Advanced,3
100402,100402,Medical,Senior,4,Advanced,3
100403,100403,Business,Sophomore,2,Beginner,1
100404,100404,Arts,Senior,4,Beginner,1
100405,100405,Humanities,Freshman,1,Beginner,1
100406,100406,Medical,Senior,4,Beginner,1
100407,100407,Humanities,Junior,3,Beginner,1
100408,100408,STEM,Junior,3,Advanced,3
100409,100409,Medical,Freshman,1,Beginner,1
100410,100410,STEM,Junior,3,Advanced,3
100411,100411,Humanities,Junior,3,Beginner,1
100412,100412,Medical,Junior,3,Advanced,3
100413,100413,Medical,Sophomore,2,Advanced,3
100414,100414,Business,Freshman,1,Intermediate,2
100415,100415,Business,Junior,3,Intermediate,2
100416,100416,Humanities,Sophomore,2,Intermediate,2
100417,100417,STEM,Junior,3,Beginner,1
100418,100418,Humanities,Junior,3,Beginner,1
100419,100419,Business,Sophomore,2,Beginner,1
100420,100420,Arts,Sophomore,2,Intermediate,2
100421,100421,Arts,Junior,3,Beginner,1
100422,100422,Arts,Junior,3,Advanced,3
100423,100423,STEM,Junior,3,Advanced,3
100424,100424,Humanities,Graduate,5,Beginner,1
100425,100425,STEM,Senior,4,Beginner,1
100426,100426,Business,Freshman,1,Intermediate,2
100427,100427,Humanities,Junior,3,Intermediate,2
100428,100428,Medical,Sophomore,2,Beginner,1
100429,100429,Humanities,Sophomore,2,Intermediate,2
100430,100430,STEM,Graduate,5,Beginner,1
100431,100431,STEM,Junior,3,Advanced,3
100432,100432,Arts,Senior,4,Advanced,3
100433,100433,Business,Graduate,5,Beginner,1
100434,100434,STEM,Freshman,1,Intermediate,2
100435,100435,STEM,Freshman,1,Intermediate,2
100436,100436,Business,Sophomore,2,Advanced,3
100437,100437,STEM,Freshman,1,Advanced,3
100438,100438,Arts,Freshman,1,Beginner,1
100439,100439,Business,Graduate,5,Intermediate,2
100440,100440,STEM,Graduate,5,Advanced,3
100441,100441,STEM,Senior,4,Advanced,3
100442,100442,Medical,Senior,4,Intermediate,2
100443,100443,Humanities,Freshman,1,Beginner,1
100444,100444,Humanities,Junior,3,Intermediate,2
100445,100445,Arts,Freshman,1,Advanced,3
100446,100446,Medical,Sophomore,2,Advanced,3
100447,100447,Medical,Sophomore,2,Advanced,3
100448,100448,Arts,Junior,3,Advanced,3
100449,100449,Humanities,Freshman,1,Beginner,1
100450,100450,STEM,Freshman,1,Intermediate,2
100451,100451,Arts,Junior,3,Intermediate,2
100452,100452,Business,Junior,3,Advanced,3
100453,100453,Humanities,Sophomore,2,Intermediate,2
100454,100454,Medical,Freshman,1,Advanced,3
100455,100455,STEM,Graduate,5,Advanced,3
100456,100456,Humanities,Freshman,1,Advanced,3
100457,100457,STEM,Senior,4,Intermediate,2
100458,100458,Humanities,Freshman,1,Beginner,1
100459,100459,STEM,Junior,3,Intermediate,2
100460,100460,STEM,Senior,4,Beginner,1
100461,100461,STEM,Senior,4,Advanced,3
100462,100462,Business,Sophomore,2,Beginner,1
100463,100463,Business,Freshman,1,Advanced,3
100464,100464,Business,Senior,4,Intermediate,2
100465,100465,Medical,Junior,3,Advanced,3
100466,100466,Humanities,Senior,4,Intermediate,2
100467,100467,STEM,Senior,4,Intermediate,2
100468,100468,Arts,Junior,3,Beginner,1
100469,100469,STEM,Graduate,5,Beginner,1
100470,100470,Medical,Junior,3,Intermediate,2
100471,100471,STEM,Senior,4,Beginner,1
100472,100472,Medical,Senior,4,Intermediate,2
100473,100473,STEM,Junior,3,Beginner,1
100474,100474,Medical,Junior,3,Beginner,1
100475,100475,Business,Senior,4,Beginner,1
100476,100476,Medical,Junior,3,Beginner,1
100477,100477,STEM,Junior,3,Intermediate,2
100478,100478,Business,Senior,4,Intermediate,2
100479,100479,Medical,Freshman,1,Intermediate,2
100480,100480,Business,Freshman,1,Advanced,3
100481,100481,Business,Freshman,1,Intermediate,2
100482,100482,Business,Junior,3,Advanced,3
100483,100483,Humanities,Graduate,5,Beginner,1
100484,100484,Business,Senior,4,Beginner,1
100485,100485,Business,Graduate,5,Beginner,1
100486,100486,Medical,Freshman,1,Advanced,3
100487,100487,STEM,Senior,4,Beginner,1
100488,100488,STEM,Sophomore,2,Advanced,3
100489,100489,Medical,Freshman,1,Advanced,3
100490,100490,Medical,Senior,4,Intermediate,2
100491,100491,Humanities,Freshman,1,Beginner,1
100492,100492,Business,Freshman,1,Beginner,1
100493,100493,STEM,Sophomore,2,Intermediate,2
100494,100494,STEM,Senior,4,Beginner,1
100495,100495,Humanities,Junior,3,Advanced,3
100496,100496,Humanities,Sophomore,2,Beginner,1
100497,100497,Business,Freshman,1,Intermediate,2
100498,100498,STEM,Freshman,1,Beginner,1
100499,100499,Medical,Freshman,1,Advanced,3
100500,100500,Medical,Graduate,5,Advanced,3
100501,100501,Business,Graduate,5,Beginner,1
100502,100502,Business,Graduate,5,Beginner,1
100503,100503,Humanities,Senior,4,Advanced,3
100504,100504,Arts,Graduate,5,Beginner,1
100505,100505,Business,Senior,4,Beginner,1
100506,100506,STEM,Graduate,5,Intermediate,2
100507,100507,Medical,Senior,4,Advanced,3
100508,100508,Arts,Junior,3,Advanced,3
100509,100509,Medical,Sophomore,2,Intermediate,2
100510,100510,Business,Junior,3,Intermediate,2
100511,100511,Business,Junior,3,Beginner,1
100512,100512,Humanities,Junior,3,Beginner,1
100513,100513,Medical,Senior,4,Beginner,1
100514,100514,Arts,Senior,4,Beginner,1
100515,100515,STEM,Freshman,1,Intermediate,2
100516,100516,STEM,Sophomore,2,Intermediate,2
100517,100517,Humanities,Graduate,5,Advanced,3
100518,100518,Arts,Junior,3,Intermediate,2
100519,100519,Medical,Sophomore,2,Advanced,3
100520,100520,STEM,Graduate,5,Intermediate,2
100521,100521,Business,Sophomore,2,Beginner,1
100522,100522,Humanities,Sophomore,2,Intermediate,2
100523,100523,Medical,Sophomore,2,Beginner,1
100524,100524,Arts,Graduate,5,Intermediate,2
100525,100525,Arts,Senior,4,Advanced,3
100526,100526,Humanities,Junior,3,Beginner,1
100527,100527,Humanities,Graduate,5,Intermediate,2
100528,100528,STEM,Graduate,5,Beginner,1
100529,100529,STEM,Senior,4,Intermediate,2
100530,100530,Arts,Graduate,5,Advanced,3
100531,100531,Arts,Senior,4,Intermediate,2
100532,100532,Medical,Junior,3,Intermediate,2
100533,100533,Medical,Junior,3,Beginner,1
100534,100534,Business,Sophomore,2,Intermediate,2
100535,100535,Arts,Freshman,1,Beginner,1
100536,100536,Medical,Senior,4,Advanced,3
100537,100537,Arts,Freshman,1,Beginner,1
100538,100538,STEM,Sophomore,2,Intermediate,2
100539,100539,Humanities,Sophomore,2,Intermediate,2
100540,100540,STEM,Junior,3,Intermediate,2
100541,100541,Medical,Sophomore,2,Intermediate,2
100542,100542,Business,Senior,4,Beginner,1
100543,100543,STEM,Graduate,5,Advanced,3
100544,100544,Business,Graduate,5,Beginner,1
100545,100545,Business,Junior,3,Beginner,1
100546,100546,Humanities,Graduate,5,Intermediate,2
100547,100547,STEM,Sophomore,2,Intermediate,2
100548,100548,Business,Junior,3,Beginner,1
100549,100549,Business,Sophomore,2,Advanced,3
100550,100550,Arts,Graduate,5,Intermediate,2
100551,100551,Business,Freshman,1,Beginner,1
100552,100552,Arts,Junior,3,Intermediate,2
100553,100553,Business,Senior,4,Advanced,3
100554,100554,Business,Junior,3,Advanced,3
100555,100555,Medical,Freshman,1,Advanced,3
100556,100556,Humanities,Junior,3,Advanced,3
100557,100557,STEM,Senior,4,Beginner,1
100558,100558,STEM,Freshman,1,Intermediate,2
100559,100559,Arts,Senior,4,Intermediate,2
100560,100560,Business,Graduate,5,Intermediate,2
100561,100561,Business,Graduate,5,Advanced,3
100562,100562,STEM,Sophomore,2,Intermediate,2
100563,100563,STEM,Freshman,1,Beginner,1
100564,100564,STEM,Sophomore,2,Advanced,3
100565,100565,Humanities,Senior,4,Advanced,3
100566,100566,Business,Graduate,5,Intermediate,2
100567,100567,Humanities,Graduate,5,Advanced,3
100568,100568,Humanities,Graduate,5,Advanced,3
100569,100569,Medical,Senior,4,Intermediate,2
100570,100570,Humanities,Senior,4,Beginner,1
100571,100571,Business,Freshman,1,Beginner,1
100572,100572,Arts,Sophomore,2,Advanced,3
100573,100573,Humanities,Graduate,5,Beginner,1
100574,100574,Business,Senior,4,Beginner,1
100575,100575,Arts,Junior,3,Advanced,3
100576,100576,Medical,Freshman,1,Beginner,1
100577,100577,STEM,Sophomore,2,Beginner,1
