Student_ID,Pre_Semester_GPA,Post_Semester_GPA,Cambio_GPA,Skill_Retention_Score,Riesgo_Academico,Estudio_Total,perfil_id,uso_ia_id,bienestar_id,institucion_id
100053,2.958,3.155,0.197,59.46,0,20.88,100053,100053,100053,2
100054,3.732,3.885,0.153,79.82,0,13.75,100054,100054,100054,2
100055,3.148,3.393,0.245,62.77,0,15.26,100055,100055,100055,2
100056,3.429,3.521,0.092,63.38,0,24.72,100056,100056,100056,3
100057,3.837,3.988,0.151,60.88,0,16.29,100057,100057,100057,1
100058,3.249,3.342,0.093,80.19,0,27.19,100058,100058,100058,2
100059,3.015,3.394,0.379,83.39,0,20.98,100059,100059,100059,2
100060,3.167,3.518,0.351,70.28,0,25.66,100060,100060,100060,1
100061,3.697,3.914,0.217,77.49,0,16.89,100061,100061,100061,1
100062,3.463,3.665,0.202,60.08,0,11.41,100062,100062,100062,2
100063,2.164,2.339,0.175,77.44,1,27.43,100063,100063,100063,1
100064,2.771,2.896,0.125,57.43,0,20.2,100064,100064,100064,2
100065,3.569,3.922,0.353,75.58,0,25.35,100065,100065,100065,3
100066,3.074,3.416,0.342,80.16,0,14.74,100066,100066,100066,3
100067,3.329,3.702,0.373,80.75,0,22.05,100067,100067,100067,2
100068,3.606,3.758,0.152,60.58,0,18.65,100068,100068,100068,1
100069,3.645,3.879,0.234,78.14,0,23.22,100069,100069,100069,2
100070,2.838,2.951,0.113,65.48,0,17.26,100070,100070,100070,2
100071,3.047,3.295,0.248,53.65,0,32.05,100071,100071,100071,2
100072,3.117,3.326,0.209,45.39,0,23.59,100072,100072,100072,2
100073,3.251,3.687,0.436,80.79,0,16.36,100073,100073,100073,3
100074,2.579,2.962,0.383,63.96,0,22.79,100074,100074,100074,2
100075,2.919,3.389,0.47,58.03,0,21.37,100075,100075,100075,2
100076,2.023,2.468,0.445,72.32,1,19.2,100076,100076,100076,2
100077,2.494,2.393,-0.101,78.1,1,13.5,100077,100077,100077,2
100078,3.631,3.969,0.338,85.55,0,12.29,100078,100078,100078,2
100079,2.659,3.21,0.551,77.88,0,25.14,100079,100079,100079,2
100080,2.862,3.293,0.431,76.51,0,19.71,100080,100080,100080,2
100081,3.274,3.195,-0.079,69.29,0,4.75,100081,100081,100081,2
100082,3.332,3.421,0.089,64.26,0,21.46,100082,100082,100082,1
100083,3.221,3.418,0.197,75.13,0,18.35,100083,100083,100083,3
100084,3.414,3.691,0.277,73.6,0,21.64,100084,100084,100084,2
100085,2.132,2.354,0.222,65.13,1,20.5,100085,100085,100085,3
100086,3.106,3.334,0.228,81.48,0,27.14,100086,100086,100086,1
100087,3.033,3.216,0.183,93.82,0,12.46,100087,100087,100087,1
100088,2.549,2.855,0.306,59.64,0,24.4,100088,100088,100088,2
100089,3.367,3.389,0.022,79.27,0,9.04,100089,100089,100089,3
100090,3.544,3.795,0.251,68.8,0,42.67,100090,100090,100090,3
100091,2.291,2.75,0.459,55.09,0,22.37,100091,100091,100091,3
100092,2.592,3.139,0.547,65.99,0,14.26,100092,100092,100092,1
100093,2.561,2.887,0.326,68.77,0,15.02,100093,100093,100093,2
100094,2.778,3.17,0.392,74.32,0,22.83,100094,100094,100094,3
100095,3.099,3.378,0.279,76.16,0,34.1,100095,100095,100095,2
100096,3.773,3.873,0.1,59.56,0,17.02,100096,100096,100096,2
100097,2.907,2.993,0.086,71.8,0,11.72,100097,100097,100097,3
100098,2.292,2.918,0.626,66.73,0,12.16,100098,100098,100098,2
100099,2.016,2.473,0.457,55.74,1,34.35,100099,100099,100099,2
100100,2.661,2.754,0.093,98.76,0,22.34,100100,100100,100100,2
100101,3.612,3.715,0.103,62.3,0,36.29,100101,100101,100101,2
100102,2.038,1.942,-0.096,55.12,1,22.17,100102,100102,100102,1
100103,3.786,4.0,0.214,56.37,0,13.53,100103,100103,100103,2
100104,3.204,3.348,0.144,85.52,0,18.55,100104,100104,100104,2
100105,2.076,2.307,0.231,63.93,1,19.15,100105,100105,100105,3
100106,2.972,3.234,0.262,87.33,0,18.46,100106,100106,100106,2
100107,2.728,2.869,0.141,84.71,0,16.19,100107,100107,100107,1
100108,2.133,2.468,0.335,72.83,1,15.99,100108,100108,100108,1
100109,2.926,3.321,0.395,94.36,0,20.28,100109,100109,100109,2
100110,2.379,3.09,0.711,96.15,0,32.12,100110,100110,100110,2
100111,3.866,4.0,0.134,53.65,0,13.43,100111,100111,100111,1
100112,3.203,3.257,0.054,82.36,0,22.82,100112,100112,100112,2
100113,3.501,3.839,0.338,85.42,0,20.78,100113,100113,100113,2
100114,3.151,3.176,0.025,66.09,0,11.56,100114,100114,100114,2
100115,3.784,4.0,0.216,83.06,0,19.98,100115,100115,100115,2
100116,3.242,3.705,0.463,78.83,0,9.45,100116,100116,100116,2
100117,2.845,3.213,0.368,61.45,0,18.81,100117,100117,100117,3
100118,3.915,4.0,0.085,62.09,0,15.07,100118,100118,100118,1
100119,2.67,2.602,-0.068,62.97,0,31.75,100119,100119,100119,2
100120,2.074,2.217,0.143,69.58,1,15.19,100120,100120,100120,2
100121,1.845,2.293,0.448,63.51,1,17.13,100121,100121,100121,2
100122,3.667,3.99,0.323,69.49,0,18.66,100122,100122,100122,3
100123,3.684,4.0,0.316,88.85,0,34.11,100123,100123,100123,2
100124,3.856,4.0,0.144,93.35,0,10.04,100124,100124,100124,3
100125,3.446,3.441,-0.005,76.67,0,47.47,100125,100125,100125,3
100126,3.086,3.137,0.051,86.56,0,25.91,100126,100126,100126,3
100127,2.461,2.574,0.113,96.82,0,16.88,100127,100127,100127,2
100128,3.887,4.0,0.113,76.58,0,41.43,100128,100128,100128,1
100129,3.092,3.456,0.364,63.1,0,17.25,100129,100129,100129,2
100130,3.537,3.576,0.039,96.33,0,22.75,100130,100130,100130,3
100131,3.138,3.146,0.008,48.73,0,13.56,100131,100131,100131,2
100132,3.505,4.0,0.495,84.53,0,28.71,100132,100132,100132,2
100133,3.724,3.897,0.173,73.28,0,23.04,100133,100133,100133,3
100134,3.416,3.717,0.301,67.16,0,27.78,100134,100134,100134,2
100135,2.398,2.57,0.172,67.06,0,16.98,100135,100135,100135,2
100136,2.686,2.785,0.099,56.59,0,14.66,100136,100136,100136,3
100137,3.164,3.49,0.326,77.45,0,23.81,100137,100137,100137,2
100138,2.767,3.137,0.37,82.77,0,20.11,100138,100138,100138,1
100139,3.706,3.881,0.175,59.74,0,9.56,100139,100139,100139,2
100140,3.393,3.384,-0.009,64.37,0,11.22,100140,100140,100140,2
100141,2.443,2.674,0.231,79.7,0,22.64,100141,100141,100141,2
100142,2.407,2.794,0.387,69.1,0,35.54,100142,100142,100142,2
100143,3.43,3.641,0.211,78.81,0,27.09,100143,100143,100143,3
100144,3.668,3.645,-0.023,76.77,0,23.53,100144,100144,100144,2
100145,3.691,3.877,0.186,72.99,0,23.04,100145,100145,100145,2
100146,2.425,2.992,0.567,90.32,0,28.02,100146,100146,100146,3
100147,3.087,3.103,0.016,79.98,0,26.66,100147,100147,100147,2
100148,2.107,2.313,0.206,76.11,1,12.19,100148,100148,100148,3
100149,3.221,3.347,0.126,57.02,0,44.54,100149,100149,100149,2
100150,3.641,3.84,0.199,51.53,0,42.95,100150,100150,100150,3
100151,3.85,4.0,0.15,100.0,0,36.91,100151,100151,100151,3
100152,2.784,3.092,0.308,82.92,0,21.83,100152,100152,100152,2
100153,2.871,2.848,-0.023,85.82,0,14.44,100153,100153,100153,2
100154,3.518,3.728,0.21,88.31,0,22.43,100154,100154,100154,2
100155,3.661,3.851,0.19,48.59,0,9.52,100155,100155,100155,1
100156,3.441,3.745,0.304,72.69,0,21.53,100156,100156,100156,3
100157,2.323,2.537,0.214,73.34,0,19.98,100157,100157,100157,2
100158,3.033,3.487,0.454,71.38,0,10.46,100158,100158,100158,3
100159,2.148,2.536,0.388,81.38,0,17.01,100159,100159,100159,1
100160,3.491,3.739,0.248,77.34,0,16.25,100160,100160,100160,3
100161,3.564,4.0,0.436,66.33,0,23.81,100161,100161,100161,3
100162,3.518,3.553,0.035,76.08,0,16.73,100162,100162,100162,1
100163,3.34,3.728,0.388,81.7,0,21.47,100163,100163,100163,2
100164,3.565,3.905,0.34,80.89,0,16.54,100164,100164,100164,2
100165,2.309,2.606,0.297,70.82,0,39.38,100165,100165,100165,2
100166,3.365,3.286,-0.079,66.16,0,17.61,100166,100166,100166,3
100167,3.257,3.809,0.552,81.93,0,17.97,100167,100167,100167,1
100168,2.258,2.326,0.068,82.16,1,9.12,100168,100168,100168,2
100169,2.086,2.38,0.294,51.4,1,9.42,100169,100169,100169,1
100170,2.331,2.493,0.162,83.54,1,16.54,100170,100170,100170,1
100171,1.737,2.001,0.264,82.74,1,16.29,100171,100171,100171,2
100172,3.3,3.386,0.086,80.69,0,11.85,100172,100172,100172,2
100173,2.624,2.737,0.113,71.53,0,10.67,100173,100173,100173,2
100174,3.478,3.476,-0.002,41.99,0,11.03,100174,100174,100174,2
100175,2.121,2.264,0.143,65.19,1,29.49,100175,100175,100175,3
100176,3.174,3.084,-0.09,69.25,0,20.92,100176,100176,100176,3
100177,3.349,3.457,0.108,87.34,0,24.93,100177,100177,100177,2
100178,2.576,2.835,0.259,73.45,0,21.62,100178,100178,100178,2
100179,3.66,3.961,0.301,59.54,0,15.78,100179,100179,100179,1
100180,2.866,3.515,0.649,66.28,0,13.64,100180,100180,100180,3
100181,2.129,2.284,0.155,82.23,1,33.94,100181,100181,100181,1
100182,3.676,3.814,0.138,57.65,0,20.18,100182,100182,100182,1
100183,3.443,3.805,0.362,90.63,0,14.01,100183,100183,100183,3
100184,3.295,3.413,0.118,64.58,0,19.42,100184,100184,100184,2
100185,3.022,3.26,0.238,55.99,0,45.13,100185,100185,100185,2
100186,3.43,3.995,0.565,90.27,0,12.91,100186,100186,100186,2
100187,2.82,3.102,0.282,61.83,0,15.95,100187,100187,100187,2
100188,3.396,3.49,0.094,55.3,0,5.84,100188,100188,100188,3
100189,3.326,3.592,0.266,62.61,0,18.91,100189,100189,100189,2
100190,3.414,3.882,0.468,89.38,0,12.17,100190,100190,100190,2
100191,3.05,2.981,-0.069,92.74,0,7.05,100191,100191,100191,3
100192,3.668,4.0,0.332,96.43,0,8.05,100192,100192,100192,3
100193,3.282,3.661,0.379,100.0,0,14.58,100193,100193,100193,2
100194,3.295,3.857,0.562,95.01,0,24.33,100194,100194,100194,2
100195,2.228,2.429,0.201,72.68,1,6.04,100195,100195,100195,2
100196,3.781,3.95,0.169,87.3,0,20.98,100196,100196,100196,3
100197,3.861,3.797,-0.064,55.28,0,17.96,100197,100197,100197,2
100198,2.816,2.921,0.105,76.6,0,16.12,100198,100198,100198,2
100199,1.691,1.86,0.169,58.58,1,17.89,100199,100199,100199,2
100200,2.874,3.035,0.161,87.08,0,27.96,100200,100200,100200,1
100201,3.337,3.714,0.377,53.77,0,31.48,100201,100201,100201,1
100202,2.773,3.061,0.288,68.03,0,20.28,100202,100202,100202,3
100203,3.548,3.673,0.125,72.33,0,12.88,100203,100203,100203,1
100204,2.053,2.172,0.119,73.12,1,21.97,100204,100204,100204,2
100205,3.357,3.824,0.467,64.84,0,35.74,100205,100205,100205,2
100206,3.219,3.384,0.165,62.0,0,26.14,100206,100206,100206,3
100207,3.819,4.0,0.181,88.92,0,12.92,100207,100207,100207,3
100208,3.166,3.424,0.258,88.19,0,20.81,100208,100208,100208,2
100209,3.742,4.0,0.258,57.99,0,21.65,100209,100209,100209,3
100210,2.358,2.525,0.167,73.66,0,16.9,100210,100210,100210,2
100211,3.179,3.448,0.269,85.19,0,15.65,100211,100211,100211,2
100212,3.37,3.544,0.174,60.04,0,30.13,100212,100212,100212,2
100213,2.363,2.653,0.29,92.54,0,17.3,100213,100213,100213,2
100214,3.741,3.903,0.162,89.03,0,5.54,100214,100214,100214,2
100215,3.815,4.0,0.185,77.85,0,16.18,100215,100215,100215,2
100216,3.098,2.936,-0.162,62.17,0,5.34,100216,100216,100216,2
100217,2.833,2.957,0.124,77.19,0,5.27,100217,100217,100217,3
100218,3.528,4.0,0.472,98.6,0,31.14,100218,100218,100218,1
100219,2.684,2.888,0.204,86.1,0,17.37,100219,100219,100219,2
100220,3.212,3.444,0.232,67.65,0,25.03,100220,100220,100220,3
100221,3.338,3.623,0.285,79.2,0,25.29,100221,100221,100221,3
100222,3.392,3.568,0.176,75.24,0,19.7,100222,100222,100222,1
100223,3.062,3.035,-0.027,63.98,0,32.06,100223,100223,100223,1
100224,3.041,3.149,0.108,70.08,0,28.35,100224,100224,100224,2
100225,3.565,3.834,0.269,76.92,0,24.92,100225,100225,100225,2
100226,3.337,3.378,0.041,90.81,0,14.1,100226,100226,100226,3
100227,1.928,1.866,-0.062,49.12,1,10.33,100227,100227,100227,3
100228,3.225,3.354,0.129,59.27,0,19.06,100228,100228,100228,3
100229,3.167,3.643,0.476,80.69,0,21.99,100229,100229,100229,2
100230,2.767,3.032,0.265,65.87,0,15.26,100230,100230,100230,3
100231,3.29,3.646,0.356,81.36,0,8.2,100231,100231,100231,2
100232,3.653,3.572,-0.081,72.15,0,12.24,100232,100232,100232,2
100233,3.767,3.61,-0.157,61.21,0,11.57,100233,100233,100233,2
100234,3.609,4.0,0.391,89.33,0,15.5,100234,100234,100234,1
100235,3.319,3.641,0.322,88.9,0,25.06,100235,100235,100235,2
100236,3.133,3.209,0.076,81.38,0,17.8,100236,100236,100236,2
100237,3.291,3.644,0.353,100.0,0,25.3,100237,100237,100237,1
100238,3.857,4.0,0.143,100.0,0,27.86,100238,100238,100238,2
100239,3.351,3.623,0.272,78.96,0,30.97,100239,100239,100239,3
100240,3.381,3.474,0.093,74.92,0,22.66,100240,100240,100240,2
100241,3.555,3.516,-0.039,82.38,0,17.1,100241,100241,100241,2
100242,3.511,3.704,0.193,86.02,0,26.98,100242,100242,100242,3
100243,3.267,3.52,0.253,73.95,0,10.25,100243,100243,100243,3
100244,2.689,2.993,0.304,87.34,0,7.72,100244,100244,100244,1
100245,3.589,3.635,0.046,97.9,0,32.37,100245,100245,100245,2
100246,2.81,2.358,-0.452,64.94,1,22.93,100246,100246,100246,2
100247,3.495,3.745,0.25,72.68,0,22.21,100247,100247,100247,1
100248,2.312,2.989,0.677,100.0,0,24.87,100248,100248,100248,2
100249,3.915,4.0,0.085,78.11,0,28.43,100249,100249,100249,1
100250,3.803,3.803,0.0,67.41,0,20.36,100250,100250,100250,2
100251,3.016,3.507,0.491,82.28,0,34.19,100251,100251,100251,2
100252,3.332,3.72,0.388,83.47,0,21.95,100252,100252,100252,2
100253,2.648,2.517,-0.131,71.83,0,12.12,100253,100253,100253,3
100254,3.878,4.0,0.122,64.07,0,20.83,100254,100254,100254,2
100255,2.069,2.314,0.245,59.48,1,44.87,100255,100255,100255,2
100256,2.738,3.103,0.365,63.11,0,9.63,100256,100256,100256,1
100257,3.164,3.636,0.472,81.63,0,15.85,100257,100257,100257,1
100258,3.416,3.669,0.253,89.41,0,20.16,100258,100258,100258,2
100259,2.41,2.556,0.146,76.43,0,14.32,100259,100259,100259,2
100260,2.637,3.132,0.495,84.55,0,15.3,100260,100260,100260,2
100261,3.244,3.651,0.407,87.79,0,32.36,100261,100261,100261,2
100262,3.506,3.88,0.374,71.93,0,15.11,100262,100262,100262,2
100263,3.825,4.0,0.175,87.29,0,25.54,100263,100263,100263,3
100264,3.05,3.284,0.234,68.48,0,33.74,100264,100264,100264,2
100265,2.94,3.211,0.271,82.2,0,13.33,100265,100265,100265,1
100266,3.293,3.37,0.077,89.83,0,17.29,100266,100266,100266,2
100267,2.912,2.95,0.038,65.63,0,23.55,100267,100267,100267,2
100268,3.302,3.567,0.265,89.24,0,44.65,100268,100268,100268,2
100269,3.472,3.848,0.376,69.07,0,13.14,100269,100269,100269,3
100270,2.579,2.888,0.309,80.34,0,9.76,100270,100270,100270,3
100271,2.991,3.261,0.27,79.72,0,19.89,100271,100271,100271,3
100272,2.736,2.995,0.259,73.16,0,13.36,100272,100272,100272,3
100273,3.616,3.863,0.247,62.9,0,5.13,100273,100273,100273,1
100274,2.807,2.855,0.048,53.56,0,31.77,100274,100274,100274,1
100275,3.706,3.948,0.242,100.0,0,11.52,100275,100275,100275,3
100276,3.517,3.78,0.263,72.34,0,17.71,100276,100276,100276,2
100277,3.444,3.618,0.174,68.24,0,9.77,100277,100277,100277,2
100278,3.586,3.908,0.322,62.69,0,28.28,100278,100278,100278,1
100279,3.117,3.292,0.175,66.31,0,9.1,100279,100279,100279,2
100280,3.302,3.335,0.033,93.98,0,14.42,100280,100280,100280,2
100281,3.765,4.0,0.235,96.43,0,24.22,100281,100281,100281,2
100282,3.84,4.0,0.16,72.7,0,24.98,100282,100282,100282,2
100283,2.864,3.235,0.371,92.27,0,18.72,100283,100283,100283,3
100284,2.235,2.594,0.359,80.69,0,31.59,100284,100284,100284,1
100285,3.039,3.067,0.028,80.71,0,11.06,100285,100285,100285,3
100286,3.112,3.159,0.047,71.73,0,15.31,100286,100286,100286,3
100287,3.156,3.562,0.406,77.08,0,21.06,100287,100287,100287,3
100288,2.672,2.911,0.239,86.59,0,16.09,100288,100288,100288,2
100289,3.497,3.63,0.133,97.52,0,18.71,100289,100289,100289,3
100290,2.628,2.598,-0.03,76.75,0,11.18,100290,100290,100290,2
100291,3.389,3.48,0.091,89.74,0,21.34,100291,100291,100291,2
100292,2.857,3.225,0.368,52.64,0,41.59,100292,100292,100292,2
100293,2.566,2.606,0.04,52.09,0,34.93,100293,100293,100293,1
100294,3.531,4.0,0.469,69.49,0,25.78,100294,100294,100294,2
100295,2.784,3.066,0.282,66.18,0,19.42,100295,100295,100295,2
100296,3.325,3.598,0.273,100.0,0,34.73,100296,100296,100296,2
100297,3.393,3.695,0.302,71.89,0,23.79,100297,100297,100297,2
100298,2.788,3.016,0.228,77.43,0,20.18,100298,100298,100298,2
100299,3.008,3.5,0.492,100.0,0,20.47,100299,100299,100299,2
100300,2.37,2.714,0.344,84.97,0,17.53,100300,100300,100300,1
100301,3.399,3.501,0.102,67.93,0,14.25,100301,100301,100301,2
100302,2.869,2.939,0.07,73.9,0,14.87,100302,100302,100302,2
100303,3.182,3.263,0.081,40.0,0,32.47,100303,100303,100303,3
100304,3.062,2.96,-0.102,55.25,0,17.17,100304,100304,100304,2
100305,2.666,2.724,0.058,85.51,0,46.91,100305,100305,100305,2
100306,2.437,2.435,-0.002,79.28,1,14.75,100306,100306,100306,3
100307,3.352,3.566,0.214,68.95,0,13.49,100307,100307,100307,3
100308,2.707,2.981,0.274,74.44,0,15.06,100308,100308,100308,2
100309,3.006,3.104,0.098,64.43,0,12.45,100309,100309,100309,3
100310,2.75,2.685,-0.065,91.55,0,17.27,100310,100310,100310,2
100311,2.806,3.292,0.486,97.27,0,22.94,100311,100311,100311,3
100312,3.695,4.0,0.305,84.26,0,28.13,100312,100312,100312,2
100313,2.391,2.564,0.173,86.21,0,13.04,100313,100313,100313,2
100314,3.795,4.0,0.205,68.26,0,27.9,100314,100314,100314,1
100315,3.067,3.666,0.599,100.0,0,25.53,100315,100315,100315,3
100316,3.91,4.0,0.09,88.9,0,13.75,100316,100316,100316,3
100317,3.162,3.432,0.27,95.56,0,28.1,100317,100317,100317,3
100318,2.808,3.352,0.544,83.04,0,23.69,100318,100318,100318,1
100319,2.338,2.779,0.441,60.3,0,19.0,100319,100319,100319,2
100320,2.831,3.204,0.373,86.64,0,51.65,100320,100320,100320,2
100321,2.714,2.827,0.113,76.14,0,13.35,100321,100321,100321,1
100322,3.244,3.933,0.689,85.46,0,22.35,100322,100322,100322,1
100323,3.275,3.302,0.027,51.93,0,13.46,100323,100323,100323,1
100324,2.048,1.816,-0.232,90.08,1,12.33,100324,100324,100324,2
100325,3.414,3.873,0.459,83.84,0,21.32,100325,100325,100325,3
100326,2.868,3.303,0.435,82.62,0,14.16,100326,100326,100326,2
100327,3.401,3.42,0.019,69.04,0,24.43,100327,100327,100327,3
100328,2.782,2.991,0.209,60.24,0,21.58,100328,100328,100328,2
100329,3.318,3.178,-0.14,73.04,0,12.53,100329,100329,100329,3
100330,3.468,3.729,0.261,63.13,0,26.58,100330,100330,100330,2
100331,3.767,4.0,0.233,71.23,0,19.06,100331,100331,100331,2
100332,2.366,2.71,0.344,69.16,0,41.94,100332,100332,100332,3
100333,2.572,2.633,0.061,94.02,0,9.41,100333,100333,100333,3
100334,3.8,4.0,0.2,70.75,0,45.04,100334,100334,100334,2
100335,3.308,3.28,-0.028,64.13,0,9.15,100335,100335,100335,1
100336,3.004,3.601,0.597,80.65,0,32.02,100336,100336,100336,3
100337,3.146,3.11,-0.036,73.74,0,21.37,100337,100337,100337,2
100338,3.238,3.474,0.236,65.5,0,21.82,100338,100338,100338,2
100339,2.797,3.209,0.412,98.6,0,19.09,100339,100339,100339,2
100340,2.315,2.428,0.113,55.3,1,20.74,100340,100340,100340,2
100341,3.725,3.904,0.179,71.19,0,10.54,100341,100341,100341,3
100342,2.689,3.054,0.365,76.66,0,14.92,100342,100342,100342,1
100343,2.733,3.019,0.286,62.68,0,40.8,100343,100343,100343,1
100344,3.853,4.0,0.147,84.84,0,17.48,100344,100344,100344,3
100345,3.448,3.558,0.11,82.42,0,31.08,100345,100345,100345,2
100346,3.208,3.228,0.02,73.52,0,34.67,100346,100346,100346,2
100347,2.829,2.898,0.069,67.17,0,14.4,100347,100347,100347,3
100348,3.52,3.621,0.101,86.97,0,9.02,100348,100348,100348,2
100349,3.23,3.334,0.104,45.42,0,10.95,100349,100349,100349,2
100350,3.811,3.991,0.18,73.79,0,15.66,100350,100350,100350,3
100351,3.402,3.613,0.211,87.1,0,13.8,100351,100351,100351,2
100352,3.542,3.616,0.074,66.01,0,10.92,100352,100352,100352,1
100353,3.03,3.078,0.048,82.29,0,10.66,100353,100353,100353,2
100354,2.915,3.175,0.26,97.22,0,16.77,100354,100354,100354,2
100355,2.456,2.594,0.138,58.42,0,19.93,100355,100355,100355,3
100356,2.83,2.936,0.106,100.0,0,20.4,100356,100356,100356,2
100357,2.879,2.836,-0.043,67.28,0,45.89,100357,100357,100357,2
100358,3.416,3.731,0.315,79.42,0,14.21,100358,100358,100358,2
100359,3.006,3.197,0.191,66.26,0,18.6,100359,100359,100359,2
100360,3.089,3.182,0.093,80.8,0,48.36,100360,100360,100360,1
100361,3.046,3.229,0.183,76.52,0,31.5,100361,100361,100361,3
100362,3.392,3.667,0.275,100.0,0,16.79,100362,100362,100362,2
100363,2.589,2.906,0.317,54.32,0,25.06,100363,100363,100363,3
100364,2.868,3.055,0.187,71.27,0,39.78,100364,100364,100364,3
100365,3.388,3.608,0.22,75.27,0,22.79,100365,100365,100365,1
100366,3.711,3.903,0.192,79.8,0,13.22,100366,100366,100366,2
100367,2.404,2.494,0.09,75.01,1,11.91,100367,100367,100367,2
100368,3.312,3.774,0.462,84.58,0,26.9,100368,100368,100368,2
100369,3.479,3.687,0.208,75.45,0,19.13,100369,100369,100369,2
100370,3.219,3.576,0.357,69.86,0,8.67,100370,100370,100370,1
100371,3.678,3.759,0.081,89.21,0,16.71,100371,100371,100371,1
100372,3.832,4.0,0.168,90.72,0,15.03,100372,100372,100372,2
100373,3.199,3.603,0.404,83.61,0,8.53,100373,100373,100373,3
100374,3.807,4.0,0.193,61.82,0,35.05,100374,100374,100374,3
100375,2.337,2.768,0.431,100.0,0,26.1,100375,100375,100375,3
100376,3.302,3.233,-0.069,63.22,0,18.1,100376,100376,100376,2
100377,3.197,3.332,0.135,76.39,0,29.26,100377,100377,100377,2
100378,3.451,3.608,0.157,85.8,0,10.89,100378,100378,100378,1
100379,2.722,2.704,-0.018,68.26,0,18.59,100379,100379,100379,3
100380,2.808,2.854,0.046,61.94,0,16.02,100380,100380,100380,2
100381,2.24,2.454,0.214,65.19,1,46.84,100381,100381,100381,2
100382,3.609,4.0,0.391,91.91,0,18.17,100382,100382,100382,3
