uso_ia_id,Student_ID,Weekly_GenAI_Hours,Nivel_Uso_IA,Uso_IA_Encoded,Primary_Use_Case,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours
100052,100052,11.16,Medio,1,Debugging/Troubleshooting,2,1,12.82
100053,100053,11.36,Medio,1,Summarizing_Reading,3,1,9.52
100054,100054,0.88,Bajo,0,Ideation,4,1,12.87
100055,100055,0.16,Bajo,0,Summarizing_Reading,1,0,15.1
100056,100056,20.48,Alto,2,Direct_Answer_Generation,2,1,4.24
100057,100057,2.23,Bajo,0,Ideation,4,1,14.06
100058,100058,9.77,Medio,1,Ideation,3,1,17.42
100059,100059,2.7,Bajo,0,Debugging/Troubleshooting,2,0,18.28
100060,100060,14.92,Medio,1,Summarizing_Reading,2,0,10.74
100061,100061,6.6,Medio,1,Ideation,3,0,10.29
100062,100062,2.47,Bajo,0,Debugging/Troubleshooting,3,0,8.94
100063,100063,17.37,Alto,2,Copywriting/Drafting,1,0,10.06
100064,100064,7.02,Medio,1,Copywriting/Drafting,4,0,13.18
100065,100065,8.2,Medio,1,Ideation,1,0,17.15
100066,100066,0.65,Bajo,0,Ideation,3,1,14.09
100067,100067,6.73,Medio,1,Debugging/Troubleshooting,4,1,15.32
100068,100068,1.1,Bajo,0,Ideation,2,0,17.55
100069,100069,16.74,Alto,2,Direct_Answer_Generation,3,1,6.48
100070,100070,9.62,Medio,1,Copywriting/Drafting,1,1,7.64
100071,100071,18.86,Alto,2,Direct_Answer_Generation,1,1,13.19
100072,100072,13.89,Medio,1,Copywriting/Drafting,2,0,9.7
100073,100073,9.97,Medio,1,Debugging/Troubleshooting,3,0,6.39
100074,100074,8.72,Medio,1,Ideation,3,0,14.07
100075,100075,2.08,Bajo,0,Direct_Answer_Generation,1,0,19.29
100076,100076,5.4,Medio,1,Copywriting/Drafting,2,0,13.8
100077,100077,7.29,Medio,1,Copywriting/Drafting,3,0,6.21
100078,100078,0.9,Bajo,0,Debugging/Troubleshooting,4,1,11.39
100079,100079,8.84,Medio,1,Copywriting/Drafting,2,0,16.3
100080,100080,5.01,Medio,1,Summarizing_Reading,3,1,14.7
100081,100081,2.79,Bajo,0,Copywriting/Drafting,2,1,1.96
100082,100082,8.53,Medio,1,Direct_Answer_Generation,2,0,12.93
100083,100083,13.97,Medio,1,Summarizing_Reading,1,0,4.38
100084,100084,3.7,Bajo,0,Debugging/Troubleshooting,4,0,17.94
100085,100085,8.18,Medio,1,Direct_Answer_Generation,4,0,12.32
100086,100086,8.23,Medio,1,Debugging/Troubleshooting,3,0,18.91
100087,100087,9.65,Medio,1,Ideation,5,1,2.81
100088,100088,13.19,Medio,1,Ideation,2,1,11.21
100089,100089,6.51,Medio,1,Summarizing_Reading,3,1,2.53
100090,100090,34.0,Alto,2,Debugging/Troubleshooting,2,0,8.67
100091,100091,7.91,Medio,1,Debugging/Troubleshooting,5,0,14.46
100092,100092,5.87,Medio,1,Copywriting/Drafting,5,1,8.39
100093,100093,0.16,Bajo,0,Debugging/Troubleshooting,5,0,14.86
100094,100094,12.92,Medio,1,Direct_Answer_Generation,2,1,9.91
100095,100095,21.32,Alto,2,Summarizing_Reading,2,1,12.78
100096,100096,5.21,Medio,1,Copywriting/Drafting,1,0,11.81
100097,100097,3.32,Bajo,0,Direct_Answer_Generation,2,0,8.4
100098,100098,3.02,Bajo,0,Copywriting/Drafting,2,0,9.14
100099,100099,28.71,Alto,2,Debugging/Troubleshooting,5,1,5.64
100100,100100,11.3,Medio,1,Direct_Answer_Generation,3,0,11.04
100101,100101,25.83,Alto,2,Debugging/Troubleshooting,3,1,10.46
100102,100102,8.9,Medio,1,Debugging/Troubleshooting,3,1,13.27
100103,100103,3.32,Bajo,0,Copywriting/Drafting,2,1,10.21
100104,100104,4.77,Bajo,0,Debugging/Troubleshooting,2,0,13.78
100105,100105,5.72,Medio,1,Copywriting/Drafting,2,1,13.43
100106,100106,9.6,Medio,1,Debugging/Troubleshooting,3,1,8.86
100107,100107,6.37,Medio,1,Copywriting/Drafting,3,1,9.82
100108,100108,4.33,Bajo,0,Direct_Answer_Generation,1,0,11.66
100109,100109,0.43,Bajo,0,Copywriting/Drafting,4,0,19.85
100110,100110,10.28,Medio,1,Ideation,4,0,21.84
100111,100111,7.54,Medio,1,Debugging/Troubleshooting,1,0,5.89
100112,100112,12.06,Medio,1,Ideation,3,1,10.76
100113,100113,9.86,Medio,1,Ideation,2,0,10.92
100114,100114,2.86,Bajo,0,Copywriting/Drafting,1,1,8.7
100115,100115,2.61,Bajo,0,Ideation,5,0,17.37
100116,100116,1.25,Bajo,0,Ideation,3,0,8.2
100117,100117,5.45,Medio,1,Summarizing_Reading,3,1,13.36
100118,100118,0.73,Bajo,0,Debugging/Troubleshooting,2,0,14.34
100119,100119,27.9,Alto,2,Summarizing_Reading,2,0,3.85
100120,100120,0.9,Bajo,0,Ideation,5,1,14.29
100121,100121,3.58,Bajo,0,Ideation,4,0,13.55
100122,100122,0.51,Bajo,0,Direct_Answer_Generation,2,0,18.15
100123,100123,18.48,Alto,2,Copywriting/Drafting,1,0,15.63
100124,100124,3.16,Bajo,0,Ideation,3,1,6.88
100125,100125,40.0,Alto,2,Summarizing_Reading,4,0,7.47
100126,100126,18.06,Alto,2,Debugging/Troubleshooting,2,0,7.85
100127,100127,5.4,Medio,1,Direct_Answer_Generation,2,0,11.48
100128,100128,23.63,Alto,2,Ideation,2,1,17.8
100129,100129,3.94,Bajo,0,Debugging/Troubleshooting,4,0,13.31
100130,100130,8.18,Medio,1,Ideation,2,0,14.57
100131,100131,1.62,Bajo,0,Copywriting/Drafting,2,0,11.94
100132,100132,20.76,Alto,2,Ideation,3,1,7.95
100133,100133,9.69,Medio,1,Debugging/Troubleshooting,3,0,13.35
100134,100134,16.77,Alto,2,Direct_Answer_Generation,3,0,11.01
100135,100135,6.97,Medio,1,Summarizing_Reading,2,0,10.01
100136,100136,6.39,Medio,1,Debugging/Troubleshooting,1,1,8.27
100137,100137,11.13,Medio,1,Debugging/Troubleshooting,3,1,12.68
100138,100138,0.44,Bajo,0,Ideation,4,1,19.67
100139,100139,4.18,Bajo,0,Direct_Answer_Generation,1,1,5.38
100140,100140,1.9,Bajo,0,Ideation,2,0,9.32
100141,100141,20.69,Alto,2,Ideation,2,0,1.95
100142,100142,25.2,Alto,2,Debugging/Troubleshooting,4,1,10.34
100143,100143,10.37,Medio,1,Copywriting/Drafting,4,1,16.72
100144,100144,16.61,Alto,2,Summarizing_Reading,3,0,6.92
100145,100145,22.04,Alto,2,Summarizing_Reading,1,1,1.0
100146,100146,9.16,Medio,1,Ideation,3,0,18.86
100147,100147,25.66,Alto,2,Ideation,1,0,1.0
100148,100148,6.05,Medio,1,Ideation,2,1,6.14
100149,100149,40.0,Alto,2,Debugging/Troubleshooting,3,1,4.54
100150,100150,35.18,Alto,2,Debugging/Troubleshooting,4,1,7.77
100151,100151,20.4,Alto,2,Copywriting/Drafting,1,0,16.51
100152,100152,4.43,Bajo,0,Copywriting/Drafting,5,1,17.4
100153,100153,4.13,Bajo,0,Summarizing_Reading,4,0,10.31
100154,100154,4.01,Bajo,0,Ideation,3,1,18.42
100155,100155,1.52,Bajo,0,Summarizing_Reading,3,0,8.0
100156,100156,1.35,Bajo,0,Copywriting/Drafting,3,0,20.18
100157,100157,9.72,Medio,1,Summarizing_Reading,3,0,10.26
100158,100158,3.86,Bajo,0,Copywriting/Drafting,3,1,6.6
100159,100159,10.2,Medio,1,Direct_Answer_Generation,2,1,6.81
100160,100160,2.92,Bajo,0,Ideation,3,1,13.33
100161,100161,2.76,Bajo,0,Copywriting/Drafting,3,0,21.05
100162,100162,9.49,Medio,1,Summarizing_Reading,2,0,7.24
100163,100163,2.62,Bajo,0,Debugging/Troubleshooting,1,0,18.85
100164,100164,1.41,Bajo,0,Ideation,2,0,15.13
100165,100165,27.25,Alto,2,Debugging/Troubleshooting,3,1,12.13
100166,100166,9.67,Medio,1,Ideation,2,0,7.94
100167,100167,1.18,Bajo,0,Summarizing_Reading,1,0,16.79
100168,100168,2.67,Bajo,0,Debugging/Troubleshooting,1,0,6.45
100169,100169,4.31,Bajo,0,Debugging/Troubleshooting,2,0,5.11
100170,100170,5.54,Medio,1,Summarizing_Reading,2,1,11.0
100171,100171,0.78,Bajo,0,Ideation,4,1,15.51
100172,100172,2.54,Bajo,0,Ideation,1,0,9.31
100173,100173,0.11,Bajo,0,Summarizing_Reading,3,0,10.56
100174,100174,9.82,Medio,1,Copywriting/Drafting,2,0,1.21
100175,100175,14.99,Medio,1,Direct_Answer_Generation,2,0,14.5
100176,100176,2.13,Bajo,0,Debugging/Troubleshooting,2,0,18.79
100177,100177,18.12,Alto,2,Ideation,4,0,6.81
100178,100178,3.46,Bajo,0,Summarizing_Reading,3,1,18.16
100179,100179,2.94,Bajo,0,Copywriting/Drafting,1,1,12.84
100180,100180,2.7,Bajo,0,Debugging/Troubleshooting,5,0,10.94
100181,100181,26.24,Alto,2,Copywriting/Drafting,5,1,7.7
100182,100182,3.1,Bajo,0,Debugging/Troubleshooting,1,1,17.08
100183,100183,3.49,Bajo,0,Ideation,3,1,10.52
100184,100184,0.75,Bajo,0,Summarizing_Reading,2,0,18.67
100185,100185,37.66,Alto,2,Copywriting/Drafting,3,1,7.47
100186,100186,0.36,Bajo,0,Debugging/Troubleshooting,2,0,12.55
100187,100187,3.33,Bajo,0,Copywriting/Drafting,3,0,12.62
100188,100188,1.87,Bajo,0,Copywriting/Drafting,3,0,3.97
100189,100189,3.23,Bajo,0,Ideation,2,0,15.68
100190,100190,1.7,Bajo,0,Copywriting/Drafting,4,0,10.47
100191,100191,3.49,Bajo,0,Summarizing_Reading,2,0,3.56
100192,100192,3.05,Bajo,0,Summarizing_Reading,2,0,5.0
100193,100193,2.41,Bajo,0,Direct_Answer_Generation,2,0,12.17
100194,100194,7.69,Medio,1,Copywriting/Drafting,5,0,16.64
100195,100195,3.64,Bajo,0,Ideation,3,0,2.4
100196,100196,2.11,Bajo,0,Copywriting/Drafting,2,0,18.87
100197,100197,6.34,Medio,1,Direct_Answer_Generation,2,0,11.62
100198,100198,2.64,Bajo,0,Direct_Answer_Generation,1,0,13.48
100199,100199,8.1,Medio,1,Summarizing_Reading,3,0,9.79
100200,100200,14.28,Medio,1,Direct_Answer_Generation,3,0,13.68
100201,100201,17.53,Alto,2,Copywriting/Drafting,2,1,13.95
100202,100202,1.76,Bajo,0,Summarizing_Reading,3,1,18.52
100203,100203,0.87,Bajo,0,Debugging/Troubleshooting,5,1,12.01
100204,100204,10.51,Medio,1,Direct_Answer_Generation,3,0,11.46
100205,100205,21.32,Alto,2,Debugging/Troubleshooting,2,1,14.42
100206,100206,8.15,Medio,1,Debugging/Troubleshooting,3,1,17.99
100207,100207,0.81,Bajo,0,Debugging/Troubleshooting,2,1,12.11
100208,100208,9.73,Medio,1,Ideation,1,0,11.08
100209,100209,1.59,Bajo,0,Direct_Answer_Generation,2,1,20.06
100210,100210,6.03,Medio,1,Summarizing_Reading,4,1,10.87
100211,100211,9.61,Medio,1,Debugging/Troubleshooting,3,1,6.04
100212,100212,16.68,Alto,2,Summarizing_Reading,4,1,13.45
100213,100213,6.12,Medio,1,Ideation,5,1,11.18
100214,100214,4.25,Bajo,0,Direct_Answer_Generation,2,1,1.29
100215,100215,5.75,Medio,1,Summarizing_Reading,5,1,10.43
100216,100216,1.91,Bajo,0,Debugging/Troubleshooting,2,1,3.43
100217,100217,4.27,Bajo,0,Copywriting/Drafting,3,0,1.0
100218,100218,7.89,Medio,1,Ideation,2,0,23.25
100219,100219,2.69,Bajo,0,Ideation,1,0,14.68
100220,100220,3.85,Bajo,0,Copywriting/Drafting,3,1,21.18
100221,100221,23.56,Alto,2,Ideation,3,1,1.73
100222,100222,0.18,Bajo,0,Debugging/Troubleshooting,3,0,19.52
100223,100223,21.42,Alto,2,Summarizing_Reading,4,0,10.64
100224,100224,11.81,Medio,1,Summarizing_Reading,3,0,16.54
100225,100225,4.6,Bajo,0,Ideation,3,0,20.32
100226,100226,3.82,Bajo,0,Copywriting/Drafting,3,1,10.28
100227,100227,9.33,Medio,1,Summarizing_Reading,4,0,1.0
100228,100228,15.05,Alto,2,Summarizing_Reading,3,0,4.01
100229,100229,0.39,Bajo,0,Summarizing_Reading,3,0,21.6
100230,100230,6.3,Medio,1,Ideation,1,0,8.96
100231,100231,2.28,Bajo,0,Ideation,1,1,5.92
100232,100232,1.27,Bajo,0,Ideation,5,0,10.97
100233,100233,5.41,Medio,1,Ideation,1,0,6.16
100234,100234,0.76,Bajo,0,Debugging/Troubleshooting,5,0,14.74
100235,100235,8.17,Medio,1,Direct_Answer_Generation,3,0,16.89
100236,100236,0.26,Bajo,0,Ideation,3,1,17.54
100237,100237,8.76,Medio,1,Copywriting/Drafting,3,1,16.54
100238,100238,3.97,Bajo,0,Direct_Answer_Generation,4,0,23.89
100239,100239,15.28,Alto,2,Ideation,2,0,15.69
100240,100240,7.75,Medio,1,Debugging/Troubleshooting,1,0,14.91
100241,100241,5.97,Medio,1,Summarizing_Reading,1,1,11.13
100242,100242,9.68,Medio,1,Summarizing_Reading,2,1,17.3
100243,100243,1.62,Bajo,0,Summarizing_Reading,3,0,8.63
100244,100244,0.67,Bajo,0,Copywriting/Drafting,2,0,7.05
100245,100245,22.12,Alto,2,Ideation,2,0,10.25
100246,100246,19.75,Alto,2,Direct_Answer_Generation,2,1,3.18
100247,100247,9.09,Medio,1,Copywriting/Drafting,3,1,13.12
100248,100248,14.79,Medio,1,Debugging/Troubleshooting,3,1,10.08
100249,100249,7.89,Medio,1,Summarizing_Reading,4,0,20.54
100250,100250,5.74,Medio,1,Copywriting/Drafting,1,1,14.62
100251,100251,12.75,Medio,1,Ideation,3,1,21.44
100252,100252,9.12,Medio,1,Direct_Answer_Generation,4,1,12.83
100253,100253,1.43,Bajo,0,Copywriting/Drafting,3,0,10.69
100254,100254,11.89,Medio,1,Debugging/Troubleshooting,3,1,8.94
100255,100255,25.73,Alto,2,Copywriting/Drafting,2,0,19.14
100256,100256,7.93,Medio,1,Ideation,2,1,1.7
100257,100257,3.38,Bajo,0,Direct_Answer_Generation,3,1,12.47
100258,100258,2.17,Bajo,0,Summarizing_Reading,3,0,17.99
100259,100259,7.72,Medio,1,Copywriting/Drafting,3,0,6.6
100260,100260,0.74,Bajo,0,Debugging/Troubleshooting,3,1,14.56
100261,100261,20.81,Alto,2,Ideation,3,1,11.55
100262,100262,5.02,Medio,1,Summarizing_Reading,2,0,10.09
100263,100263,18.43,Alto,2,Debugging/Troubleshooting,3,1,7.11
100264,100264,22.73,Alto,2,Summarizing_Reading,3,1,11.01
100265,100265,1.62,Bajo,0,Summarizing_Reading,3,1,11.71
100266,100266,10.66,Medio,1,Debugging/Troubleshooting,1,0,6.63
100267,100267,12.22,Medio,1,Ideation,1,0,11.33
100268,100268,23.57,Alto,2,Copywriting/Drafting,4,1,21.08
100269,100269,3.46,Bajo,0,Copywriting/Drafting,3,1,9.68
100270,100270,0.86,Bajo,0,Ideation,1,1,8.9
100271,100271,9.42,Medio,1,Copywriting/Drafting,1,1,10.47
100272,100272,1.3,Bajo,0,Debugging/Troubleshooting,2,1,12.06
100273,100273,3.95,Bajo,0,Copywriting/Drafting,2,0,1.18
100274,100274,21.31,Alto,2,Summarizing_Reading,3,0,10.46
100275,100275,0.8,Bajo,0,Copywriting/Drafting,4,0,10.72
100276,100276,6.5,Medio,1,Summarizing_Reading,3,1,11.21
100277,100277,0.39,Bajo,0,Copywriting/Drafting,3,0,9.38
100278,100278,14.54,Medio,1,Ideation,1,0,13.74
100279,100279,1.65,Bajo,0,Copywriting/Drafting,2,0,7.45
100280,100280,0.33,Bajo,0,Summarizing_Reading,2,0,14.09
100281,100281,5.79,Medio,1,Debugging/Troubleshooting,2,0,18.43
100282,100282,5.69,Medio,1,Copywriting/Drafting,1,0,19.29
100283,100283,7.31,Medio,1,Copywriting/Drafting,3,1,11.41
100284,100284,21.44,Alto,2,Debugging/Troubleshooting,3,1,10.15
100285,100285,0.49,Bajo,0,Ideation,4,0,10.57
100286,100286,11.33,Medio,1,Direct_Answer_Generation,2,0,3.98
100287,100287,0.61,Bajo,0,Ideation,2,0,20.45
100288,100288,13.55,Medio,1,Ideation,4,1,2.54
100289,100289,4.77,Bajo,0,Direct_Answer_Generation,3,0,13.94
100290,100290,4.78,Bajo,0,Debugging/Troubleshooting,5,1,6.4
100291,100291,8.49,Medio,1,Debugging/Troubleshooting,2,1,12.85
100292,100292,29.02,Alto,2,Summarizing_Reading,1,0,12.57
100293,100293,16.4,Alto,2,Copywriting/Drafting,2,1,18.53
100294,100294,6.12,Medio,1,Copywriting/Drafting,2,0,19.66
100295,100295,4.2,Bajo,0,Debugging/Troubleshooting,3,0,15.22
100296,100296,24.66,Alto,2,Copywriting/Drafting,4,0,10.07
100297,100297,10.72,Medio,1,Summarizing_Reading,5,1,13.07
100298,100298,18.58,Alto,2,Direct_Answer_Generation,3,0,1.6
100299,100299,3.03,Bajo,0,Ideation,3,0,17.44
100300,100300,0.12,Bajo,0,Debugging/Troubleshooting,3,0,17.41
100301,100301,13.25,Medio,1,Copywriting/Drafting,3,0,1.0
100302,100302,3.16,Bajo,0,Ideation,3,0,11.71
100303,100303,27.29,Alto,2,Ideation,1,0,5.18
100304,100304,6.81,Medio,1,Ideation,3,0,10.36
100305,100305,40.0,Alto,2,Ideation,5,1,6.91
100306,100306,0.41,Bajo,0,Summarizing_Reading,1,1,14.34
100307,100307,4.54,Bajo,0,Summarizing_Reading,1,0,8.95
100308,100308,7.94,Medio,1,Ideation,1,1,7.12
100309,100309,1.79,Bajo,0,Copywriting/Drafting,2,0,10.66
100310,100310,3.31,Bajo,0,Debugging/Troubleshooting,3,1,13.96
100311,100311,8.83,Medio,1,Debugging/Troubleshooting,3,1,14.11
100312,100312,11.05,Medio,1,Debugging/Troubleshooting,1,0,17.08
100313,100313,0.28,Bajo,0,Debugging/Troubleshooting,2,0,12.76
100314,100314,2.26,Bajo,0,Summarizing_Reading,2,0,25.64
100315,100315,8.17,Medio,1,Debugging/Troubleshooting,3,1,17.36
100316,100316,1.92,Bajo,0,Ideation,2,0,11.83
100317,100317,15.07,Alto,2,Copywriting/Drafting,4,1,13.03
100318,100318,4.48,Bajo,0,Debugging/Troubleshooting,4,0,19.21
100319,100319,4.23,Bajo,0,Direct_Answer_Generation,1,0,14.77
100320,100320,40.0,Alto,2,Debugging/Troubleshooting,1,0,11.65
100321,100321,1.01,Bajo,0,Ideation,3,1,12.34
100322,100322,5.8,Medio,1,Debugging/Troubleshooting,4,1,16.55
100323,100323,1.01,Bajo,0,Ideation,1,0,12.45
100324,100324,7.49,Medio,1,Debugging/Troubleshooting,2,0,4.84
100325,100325,2.16,Bajo,0,Summarizing_Reading,1,0,19.16
100326,100326,4.37,Bajo,0,Ideation,3,1,9.79
100327,100327,19.48,Alto,2,Copywriting/Drafting,3,1,4.95
100328,100328,1.24,Bajo,0,Copywriting/Drafting,2,1,20.34
100329,100329,5.16,Medio,1,Debugging/Troubleshooting,3,1,7.37
100330,100330,8.89,Medio,1,Direct_Answer_Generation,2,0,17.69
100331,100331,1.27,Bajo,0,Summarizing_Reading,2,0,17.79
100332,100332,29.13,Alto,2,Debugging/Troubleshooting,3,0,12.81
100333,100333,0.65,Bajo,0,Debugging/Troubleshooting,3,0,8.76
100334,100334,40.0,Alto,2,Debugging/Troubleshooting,4,1,5.04
100335,100335,1.88,Bajo,0,Summarizing_Reading,4,1,7.27
100336,100336,13.65,Medio,1,Debugging/Troubleshooting,3,1,18.37
100337,100337,2.92,Bajo,0,Copywriting/Drafting,3,0,18.45
100338,100338,9.42,Medio,1,Ideation,2,0,12.4
100339,100339,0.34,Bajo,0,Debugging/Troubleshooting,5,0,18.75
100340,100340,15.4,Alto,2,Copywriting/Drafting,2,1,5.34
100341,100341,2.4,Bajo,0,Direct_Answer_Generation,2,0,8.14
100342,100342,3.66,Bajo,0,Direct_Answer_Generation,2,0,11.26
100343,100343,23.54,Alto,2,Copywriting/Drafting,5,1,17.26
100344,100344,6.82,Medio,1,Debugging/Troubleshooting,3,0,10.66
100345,100345,17.5,Alto,2,Copywriting/Drafting,3,0,13.58
100346,100346,32.77,Alto,2,Ideation,5,0,1.9
100347,100347,4.77,Bajo,0,Ideation,3,0,9.63
100348,100348,1.13,Bajo,0,Copywriting/Drafting,5,1,7.89
100349,100349,4.99,Bajo,0,Summarizing_Reading,2,0,5.96
100350,100350,7.2,Medio,1,Debugging/Troubleshooting,3,0,8.46
100351,100351,1.94,Bajo,0,Direct_Answer_Generation,3,0,11.86
100352,100352,4.93,Bajo,0,Copywriting/Drafting,2,0,5.99
100353,100353,8.26,Medio,1,Summarizing_Reading,1,1,2.4
100354,100354,9.77,Medio,1,Debugging/Troubleshooting,1,1,7.0
100355,100355,3.84,Bajo,0,Copywriting/Drafting,1,0,16.09
100356,100356,9.04,Medio,1,Direct_Answer_Generation,3,0,11.36
100357,100357,32.69,Alto,2,Debugging/Troubleshooting,2,1,13.2
100358,100358,2.75,Bajo,0,Ideation,2,0,11.46
100359,100359,13.87,Medio,1,Summarizing_Reading,3,0,4.73
100360,100360,27.87,Alto,2,Ideation,5,1,20.49
100361,100361,21.76,Alto,2,Copywriting/Drafting,3,0,9.74
100362,100362,2.73,Bajo,0,Ideation,1,1,14.06
100363,100363,8.71,Medio,1,Debugging/Troubleshooting,2,1,16.35
100364,100364,35.34,Alto,2,Ideation,3,1,4.44
100365,100365,7.96,Medio,1,Summarizing_Reading,2,1,14.83
100366,100366,2.81,Bajo,0,Copywriting/Drafting,3,0,10.41
100367,100367,4.59,Bajo,0,Direct_Answer_Generation,4,1,7.32
100368,100368,12.35,Medio,1,Summarizing_Reading,3,1,14.55
100369,100369,5.67,Medio,1,Debugging/Troubleshooting,3,1,13.46
100370,100370,7.67,Medio,1,Debugging/Troubleshooting,4,1,1.0
100371,100371,2.72,Bajo,0,Direct_Answer_Generation,4,0,13.99
100372,100372,0.68,Bajo,0,Debugging/Troubleshooting,1,0,14.35
100373,100373,1.85,Bajo,0,Debugging/Troubleshooting,4,1,6.68
100374,100374,24.8,Alto,2,Ideation,3,1,10.25
100375,100375,7.19,Medio,1,Debugging/Troubleshooting,3,0,18.91
100376,100376,11.65,Medio,1,Copywriting/Drafting,4,1,6.45
100377,100377,15.96,Alto,2,Copywriting/Drafting,4,0,13.3
100378,100378,2.87,Bajo,0,Debugging/Troubleshooting,4,0,8.02
100379,100379,1.03,Bajo,0,Direct_Answer_Generation,1,1,17.56
100380,100380,7.85,Medio,1,Debugging/Troubleshooting,5,1,8.17
100381,100381,33.26,Alto,2,Debugging/Troubleshooting,1,0,13.58
100382,100382,1.98,Bajo,0,Ideation,1,0,16.19
100383,100383,2.3,Bajo,0,Ideation,5,0,3.49
100384,100384,12.68,Medio,1,Summarizing_Reading,5,1,12.46
100385,100385,13.92,Medio,1,Debugging/Troubleshooting,3,0,1.71
100386,100386,2.62,Bajo,0,Ideation,2,1,11.62
100387,100387,4.82,Bajo,0,Direct_Answer_Generation,4,1,14.43
100388,100388,12.15,Medio,1,Direct_Answer_Generation,1,1,17.22
100389,100389,1.76,Bajo,0,Copywriting/Drafting,2,1,14.31
100390,100390,9.15,Medio,1,Copywriting/Drafting,4,0,11.02
100391,100391,5.96,Medio,1,Direct_Answer_Generation,3,0,13.59
100392,100392,4.97,Bajo,0,Direct_Answer_Generation,3,0,14.34
100393,100393,9.24,Medio,1,Debugging/Troubleshooting,3,0,8.39
100394,100394,0.86,Bajo,0,Copywriting/Drafting,2,0,10.3
100395,100395,1.25,Bajo,0,Copywriting/Drafting,1,1,14.07
100396,100396,13.42,Medio,1,Copywriting/Drafting,3,1,11.75
100397,100397,8.84,Medio,1,Debugging/Troubleshooting,2,0,13.04
100398,100398,34.0,Alto,2,Summarizing_Reading,3,1,4.65
100399,100399,23.92,Alto,2,Debugging/Troubleshooting,4,1,11.19
