Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Cambio_GPA,Nivel_Uso_IA,Dependencia_Alta,Estudio_Total,Riesgo_Academico,Year_Encoded,Prompt_Skill_Encoded,Policy_Encoded,Burnout_Encoded,Uso_IA_Encoded
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1,0,10.84,1,Allowed_With_Citation,2,3.412,53.95,Medium,0.437,Bajo,0,11.35,0,3,1,1,1,0
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4,0,3.69,1,Allowed_With_Citation,4,3.187,74.23,Medium,-0.118,Bajo,0,3.89,0,2,2,1,1,0
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4,0,18.71,4,Strict_Ban,3,2.758,78.28,Low,0.122,Bajo,0,20.34,0,2,2,0,0,0
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1,0,15.78,2,Allowed_With_Citation,6,3.358,67.56,Low,-0.171,Bajo,0,20.69,0,4,1,1,0,0
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2,1,2.75,2,Allowed_With_Citation,3,3.749,68.81,Medium,0.198,Medio,0,13.23,0,3,2,1,1,1
100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1,1,10.61,1,Allowed_With_Citation,8,3.76,55.33,Low,0.181,Bajo,0,11.06,0,4,1,1,0,0
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1,0,8.24,8,Strict_Ban,7,2.588,63.38,Medium,0.224,Alto,1,36.96,0,1,1,0,1,2
100026,Arts,Senior,3.308,2.38,Ideation,Advanced,4,1,11.33,2,Actively_Encouraged,2,4.0,81.85,High,0.692,Bajo,0,13.71,0,4,3,2,2,0
100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5,1,14.29,6,Allowed_With_Citation,2,3.822,82.36,Medium,0.484,Alto,0,32.91,0,2,3,1,1,2
100028,Business,Junior,3.302,23.96,Ideation,Intermediate,2,1,6.54,5,Allowed_With_Citation,1,3.487,67.74,High,0.185,Alto,0,30.5,0,3,2,1,2,2
100029,Business,Freshman,3.282,0.68,Ideation,Beginner,1,0,17.89,1,Actively_Encouraged,4,3.088,74.67,Low,-0.194,Bajo,0,18.57,0,1,1,2,0,0
100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4,1,10.25,5,Allowed_With_Citation,4,4.0,61.29,Medium,0.362,Medio,0,23.08,0,2,3,1,1,1
100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4,1,16.16,2,Allowed_With_Citation,6,3.989,88.44,Low,0.258,Bajo,0,17.42,0,4,2,1,0,0
100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2,0,11.77,5,Allowed_With_Citation,5,1.342,56.81,Medium,-0.107,Bajo,0,12.49,1,2,2,1,1,0
100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3,0,16.16,3,Allowed_With_Citation,5,3.276,74.03,Medium,0.42,Bajo,0,17.43,0,5,3,1,1,0
100034,Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5,0,9.89,2,Allowed_With_Citation,1,3.335,89.14,Medium,0.187,Medio,0,15.45,0,4,2,1,1,1
100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2,1,1.0,7,Allowed_With_Citation,3,3.207,67.2,High,0.087,Alto,1,20.92,0,5,1,1,2,2
100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4,1,3.67,2,Strict_Ban,5,3.553,55.89,High,-0.079,Bajo,0,4.84,0,2,2,0,2,0
100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3,0,7.46,1,Allowed_With_Citation,5,3.145,75.11,Low,-0.158,Bajo,0,7.75,0,1,3,1,0,0
100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3,1,1.0,5,Allowed_With_Citation,4,3.636,96.68,Low,-0.035,Alto,0,17.77,0,3,2,1,0,2
100039,Business,Sophomore,2.403,1.58,Ideation,Intermediate,4,1,13.34,1,Allowed_With_Citation,5,2.365,74.3,High,-0.038,Bajo,0,14.92,1,2,2,1,2,0
100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3,0,10.81,2,Actively_Encouraged,2,3.452,92.44,Medium,0.366,Bajo,0,15.0,0,3,2,2,1,0
100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3,1,8.95,5,Allowed_With_Citation,8,2.686,84.71,Medium,0.376,Medio,0,16.12,0,4,3,1,1,1
100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3,1,11.3,1,Allowed_With_Citation,5,3.812,72.05,Low,0.273,Bajo,0,11.71,0,4,1,1,0,0
100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3,0,8.42,3,Allowed_With_Citation,4,3.909,68.22,Medium,0.132,Medio,0,16.48,0,1,1,1,1,1
100044,Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3,0,8.21,4,Strict_Ban,4,3.277,79.79,Medium,0.229,Bajo,0,12.88,0,4,1,0,1,0
100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3,0,9.36,4,Allowed_With_Citation,7,3.447,62.75,Low,0.434,Medio,0,23.83,0,3,2,1,0,1
100046,Business,Junior,3.503,6.34,Ideation,Intermediate,2,0,21.22,2,Strict_Ban,5,3.942,99.25,Low,0.439,Medio,0,27.56,0,3,2,0,0,1
100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1,0,11.84,4,Allowed_With_Citation,3,4.0,76.67,Medium,0.158,Medio,0,18.1,0,2,2,1,1,1
100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2,1,10.5,2,Actively_Encouraged,3,3.567,86.73,Medium,0.056,Medio,0,18.54,0,3,1,2,1,1
100049,Business,Senior,2.645,8.78,Ideation,Intermediate,3,0,5.97,1,Strict_Ban,3,2.884,87.51,High,0.239,Medio,0,14.75,0,4,2,0,2,1
100050,STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2,1,20.87,5,Allowed_With_Citation,4,3.644,83.76,Medium,0.529,Medio,0,34.26,0,4,2,1,1,1
100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4,1,15.85,3,Strict_Ban,6,4.0,61.2,High,0.423,Medio,0,26.98,0,2,3,0,2,1
100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2,1,12.82,6,Actively_Encouraged,5,2.903,69.95,High,0.47,Medio,0,23.98,0,4,1,2,2,1
100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3,1,9.52,5,Allowed_With_Citation,6,3.155,59.46,Low,0.197,Medio,0,20.88,0,2,2,1,0,1
100054,Medical,Senior,3.732,0.88,Ideation,Intermediate,4,1,12.87,4,Allowed_With_Citation,1,3.885,79.82,Medium,0.153,Bajo,0,13.75,0,4,2,1,1,0
100055,Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1,0,15.1,2,Allowed_With_Citation,5,3.393,62.77,Medium,0.245,Bajo,0,15.26,0,3,1,1,1,0
100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2,1,4.24,6,Actively_Encouraged,2,3.521,63.38,High,0.092,Alto,0,24.72,0,4,1,2,2,2
100057,STEM,Junior,3.837,2.23,Ideation,Advanced,4,1,14.06,4,Strict_Ban,4,3.988,60.88,Medium,0.151,Bajo,0,16.29,0,3,3,0,1,0
100058,STEM,Sophomore,3.249,9.77,Ideation,Advanced,3,1,17.42,4,Allowed_With_Citation,4,3.342,80.19,Medium,0.093,Medio,0,27.19,0,2,3,1,1,1
100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2,0,18.28,3,Allowed_With_Citation,4,3.394,83.39,Medium,0.379,Bajo,0,20.98,0,3,1,1,1,0
100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2,0,10.74,2,Strict_Ban,8,3.518,70.28,Medium,0.351,Medio,0,25.66,0,2,1,0,1,1
100061,Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3,0,10.29,4,Strict_Ban,5,3.914,77.49,Low,0.217,Medio,0,16.89,0,2,3,0,0,1
100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3,0,8.94,1,Allowed_With_Citation,1,3.665,60.08,Medium,0.202,Bajo,0,11.41,0,1,2,1,1,0
100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1,0,10.06,6,Strict_Ban,5,2.339,77.44,High,0.175,Alto,0,27.43,1,4,1,0,2,2
100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4,0,13.18,2,Allowed_With_Citation,3,2.896,57.43,Low,0.125,Medio,0,20.2,0,1,2,1,0,1
100065,STEM,Graduate,3.569,8.2,Ideation,Intermediate,1,0,17.15,2,Actively_Encouraged,4,3.922,75.58,Low,0.353,Medio,0,25.35,0,5,2,2,0,1
100066,Business,Freshman,3.074,0.65,Ideation,Intermediate,3,1,14.09,3,Actively_Encouraged,5,3.416,80.16,Medium,0.342,Bajo,0,14.74,0,1,2,2,1,0
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4,1,15.32,3,Allowed_With_Citation,2,3.702,80.75,Medium,0.373,Medio,0,22.05,0,5,2,1,1,1
100068,Arts,Graduate,3.606,1.1,Ideation,Beginner,2,0,17.55,2,Strict_Ban,3,3.758,60.58,Medium,0.152,Bajo,0,18.65,0,5,1,0,1,0
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3,1,6.48,4,Allowed_With_Citation,2,3.879,78.14,High,0.234,Alto,0,23.22,0,2,3,1,2,2
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1,1,7.64,5,Allowed_With_Citation,5,2.951,65.48,Low,0.113,Medio,0,17.26,0,5,1,1,0,1
100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1,1,13.19,6,Allowed_With_Citation,7,3.295,53.65,High,0.248,Alto,0,32.05,0,5,1,1,2,2
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2,0,9.7,8,Allowed_With_Citation,6,3.326,45.39,Medium,0.209,Medio,1,23.59,0,1,1,1,1,1
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3,0,6.39,3,Actively_Encouraged,5,3.687,80.79,Low,0.436,Medio,0,16.36,0,5,3,2,0,1
100074,Arts,Freshman,2.579,8.72,Ideation,Advanced,3,0,14.07,4,Allowed_With_Citation,3,2.962,63.96,Low,0.383,Medio,0,22.79,0,1,3,1,0,1
100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1,0,19.29,5,Allowed_With_Citation,3,3.389,58.03,Low,0.47,Bajo,0,21.37,0,1,1,1,0,0
100076,Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2,0,13.8,2,Allowed_With_Citation,5,2.468,72.32,Medium,0.445,Medio,0,19.2,1,3,1,1,1,1
100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3,0,6.21,1,Allowed_With_Citation,7,2.393,78.1,Low,-0.101,Medio,0,13.5,1,1,1,1,0,1
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4,1,11.39,1,Allowed_With_Citation,2,3.969,85.55,Low,0.338,Bajo,0,12.29,0,1,3,1,0,0
100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2,0,16.3,1,Allowed_With_Citation,8,3.21,77.88,High,0.551,Medio,0,25.14,0,5,2,1,2,1
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3,1,14.7,2,Allowed_With_Citation,1,3.293,76.51,Medium,0.431,Medio,0,19.71,0,5,1,1,1,1
100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2,1,1.96,2,Allowed_With_Citation,1,3.195,69.29,Low,-0.079,Bajo,0,4.75,0,4,1,1,0,0
100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2,0,12.93,4,Strict_Ban,2,3.421,64.26,Low,0.089,Medio,0,21.46,0,3,1,0,0,1
100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1,0,4.38,4,Actively_Encouraged,4,3.418,75.13,Medium,0.197,Medio,0,18.35,0,5,1,2,1,1
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4,0,17.94,2,Allowed_With_Citation,2,3.691,73.6,Medium,0.277,Bajo,0,21.64,0,1,2,1,1,0
100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4,0,12.32,4,Actively_Encouraged,3,2.354,65.13,Low,0.222,Medio,0,20.5,1,5,3,2,0,1
100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3,0,18.91,3,Strict_Ban,3,3.334,81.48,Medium,0.228,Medio,0,27.14,0,2,2,0,1,1
100087,Business,Graduate,3.033,9.65,Ideation,Intermediate,5,1,2.81,2,Strict_Ban,5,3.216,93.82,High,0.183,Medio,0,12.46,0,5,2,0,2,1
100088,Business,Senior,2.549,13.19,Ideation,Beginner,2,1,11.21,6,Allowed_With_Citation,5,2.855,59.64,Medium,0.306,Medio,0,24.4,0,4,1,1,1,1
100089,Medical,Graduate,3.367,6.51,Summarizing_Reading,Beginner,3,1,2.53,1,Actively_Encouraged,2,3.389,79.27,High,0.022,Medio,0,9.04,0,5,1,2,2,1
100090,Humanities,Graduate,3.544,34.0,Debugging/Troubleshooting,Beginner,2,0,8.67,6,Actively_Encouraged,1,3.795,68.8,High,0.251,Alto,0,42.67,0,5,1,2,2,2
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5,0,14.46,3,Actively_Encouraged,6,2.75,55.09,Medium,0.459,Medio,0,22.37,0,5,2,2,1,1
100092,Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5,1,8.39,3,Strict_Ban,2,3.139,65.99,High,0.547,Medio,0,14.26,0,3,2,0,2,1
100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5,0,14.86,3,Allowed_With_Citation,1,2.887,68.77,Low,0.326,Bajo,0,15.02,0,4,2,1,0,0
100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2,1,9.91,7,Actively_Encouraged,8,3.17,74.32,Medium,0.392,Medio,1,22.83,0,4,2,2,1,1
100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2,1,12.78,3,Allowed_With_Citation,4,3.378,76.16,Medium,0.279,Alto,0,34.1,0,1,1,1,1,2
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1,0,11.81,1,Allowed_With_Citation,3,3.873,59.56,High,0.1,Medio,0,17.02,0,4,1,1,2,1
100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2,0,8.4,2,Actively_Encouraged,5,2.993,71.8,Medium,0.086,Bajo,0,11.72,0,1,2,2,1,0
100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2,0,9.14,2,Allowed_With_Citation,3,2.918,66.73,Medium,0.626,Bajo,0,12.16,0,5,1,1,1,0
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5,1,5.64,6,Allowed_With_Citation,4,2.473,55.74,Medium,0.457,Alto,0,34.35,1,1,3,1,1,2
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3,0,11.04,6,Allowed_With_Citation,2,2.754,98.76,High,0.093,Medio,0,22.34,0,5,3,1,2,1
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3,1,10.46,7,Allowed_With_Citation,6,3.715,62.3,High,0.103,Alto,1,36.29,0,2,2,1,2,2
100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3,1,13.27,6,Strict_Ban,4,1.942,55.12,Medium,-0.096,Medio,0,22.17,1,1,2,0,1,1
100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2,1,10.21,5,Allowed_With_Citation,2,4.0,56.37,Medium,0.214,Bajo,0,13.53,0,5,1,1,1,0
100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2,0,13.78,2,Allowed_With_Citation,4,3.348,85.52,Low,0.144,Bajo,0,18.55,0,1,2,1,0,0
100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2,1,13.43,2,Actively_Encouraged,2,2.307,63.93,Medium,0.231,Medio,0,19.15,1,3,2,2,1,1
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3,1,8.86,3,Allowed_With_Citation,1,3.234,87.33,Medium,0.262,Medio,0,18.46,0,4,2,1,1,1
100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3,1,9.82,2,Strict_Ban,1,2.869,84.71,Low,0.141,Medio,0,16.19,0,2,3,0,0,1
100108,Arts,Junior,2.133,4.33,Direct_Answer_Generation,Beginner,1,0,11.66,2,Strict_Ban,4,2.468,72.83,Low,0.335,Bajo,0,15.99,1,3,1,0,0,0
100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4,0,19.85,3,Allowed_With_Citation,1,3.321,94.36,Low,0.395,Bajo,0,20.28,0,4,2,1,0,0
100110,STEM,Graduate,2.379,10.28,Ideation,Advanced,4,0,21.84,4,Allowed_With_Citation,2,3.09,96.15,Low,0.711,Medio,0,32.12,0,5,3,1,0,1
100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1,0,5.89,2,Strict_Ban,4,4.0,53.65,Low,0.134,Medio,0,13.43,0,1,1,0,0,1
100112,STEM,Freshman,3.203,12.06,Ideation,Beginner,3,1,10.76,6,Allowed_With_Citation,6,3.257,82.36,Medium,0.054,Medio,0,22.82,0,1,1,1,1,1
100113,Medical,Junior,3.501,9.86,Ideation,Intermediate,2,0,10.92,5,Allowed_With_Citation,3,3.839,85.42,Low,0.338,Medio,0,20.78,0,3,2,1,0,1
100114,Arts,Sophomore,3.151,2.86,Copywriting/Drafting,Beginner,1,1,8.7,4,Allowed_With_Citation,1,3.176,66.09,Low,0.025,Bajo,0,11.56,0,2,1,1,0,0
100115,Business,Sophomore,3.784,2.61,Ideation,Advanced,5,0,17.37,1,Allowed_With_Citation,3,4.0,83.06,Low,0.216,Bajo,0,19.98,0,2,3,1,0,0
100116,Medical,Sophomore,3.242,1.25,Ideation,Beginner,3,0,8.2,2,Allowed_With_Citation,3,3.705,78.83,Medium,0.463,Bajo,0,9.45,0,2,1,1,1,0
100117,Arts,Junior,2.845,5.45,Summarizing_Reading,Advanced,3,1,13.36,3,Actively_Encouraged,4,3.213,61.45,Low,0.368,Medio,0,18.81,0,3,3,2,0,1
100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2,0,14.34,1,Strict_Ban,6,4.0,62.09,Low,0.085,Bajo,0,15.07,0,5,2,0,0,0
100119,Medical,Freshman,2.67,27.9,Summarizing_Reading,Beginner,2,0,3.85,7,Allowed_With_Citation,5,2.602,62.97,Medium,-0.068,Alto,1,31.75,0,1,1,1,1,2
100120,Business,Freshman,2.074,0.9,Ideation,Advanced,5,1,14.29,1,Allowed_With_Citation,3,2.217,69.58,Low,0.143,Bajo,0,15.19,1,1,3,1,0,0
100121,Arts,Senior,1.845,3.58,Ideation,Intermediate,4,0,13.55,3,Allowed_With_Citation,2,2.293,63.51,Medium,0.448,Bajo,0,17.13,1,4,2,1,1,0
100122,Medical,Freshman,3.667,0.51,Direct_Answer_Generation,Beginner,2,0,18.15,4,Actively_Encouraged,9,3.99,69.49,Low,0.323,Bajo,0,18.66,0,1,1,2,0,0
100123,Humanities,Senior,3.684,18.48,Copywriting/Drafting,Beginner,1,0,15.63,4,Allowed_With_Citation,4,4.0,88.85,Medium,0.316,Alto,0,34.11,0,4,1,1,1,2
100124,STEM,Sophomore,3.856,3.16,Ideation,Advanced,3,1,6.88,5,Actively_Encouraged,6,4.0,93.35,Medium,0.144,Bajo,0,10.04,0,2,3,2,1,0
100125,STEM,Sophomore,3.446,40.0,Summarizing_Reading,Intermediate,4,0,7.47,10,Actively_Encouraged,2,3.441,76.67,High,-0.005,Alto,1,47.47,0,2,2,2,2,2
100126,Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,Beginner,2,0,7.85,7,Actively_Encouraged,8,3.137,86.56,Medium,0.051,Alto,1,25.91,0,2,1,2,1,2
100127,Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,Intermediate,2,0,11.48,4,Allowed_With_Citation,2,2.574,96.82,Low,0.113,Medio,0,16.88,0,2,2,1,0,1
100128,Arts,Senior,3.887,23.63,Ideation,Beginner,2,1,17.8,7,Strict_Ban,9,4.0,76.58,Medium,0.113,Alto,1,41.43,0,4,1,0,1,2
100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4,0,13.31,3,Allowed_With_Citation,3,3.456,63.1,Medium,0.364,Bajo,0,17.25,0,5,2,1,1,0
100130,Business,Junior,3.537,8.18,Ideation,Intermediate,2,0,14.57,2,Actively_Encouraged,1,3.576,96.33,Low,0.039,Medio,0,22.75,0,3,2,2,0,1
100131,Humanities,Junior,3.138,1.62,Copywriting/Drafting,Beginner,2,0,11.94,1,Allowed_With_Citation,6,3.146,48.73,Low,0.008,Bajo,0,13.56,0,3,1,1,0,0
100132,STEM,Freshman,3.505,20.76,Ideation,Advanced,3,1,7.95,5,Allowed_With_Citation,4,4.0,84.53,Low,0.495,Alto,0,28.71,0,1,3,1,0,2
100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3,0,13.35,5,Actively_Encouraged,5,3.897,73.28,Medium,0.173,Medio,0,23.04,0,4,1,2,1,1
100134,Humanities,Junior,3.416,16.77,Direct_Answer_Generation,Advanced,3,0,11.01,6,Allowed_With_Citation,1,3.717,67.16,High,0.301,Alto,0,27.78,0,3,3,1,2,2
100135,Medical,Freshman,2.398,6.97,Summarizing_Reading,Beginner,2,0,10.01,3,Allowed_With_Citation,7,2.57,67.06,Low,0.172,Medio,0,16.98,0,1,1,1,0,1
100136,Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,Beginner,1,1,8.27,3,Actively_Encouraged,7,2.785,56.59,Medium,0.099,Medio,0,14.66,0,1,1,2,1,1
100137,Business,Freshman,3.164,11.13,Debugging/Troubleshooting,Beginner,3,1,12.68,8,Allowed_With_Citation,3,3.49,77.45,Medium,0.326,Medio,1,23.81,0,1,1,1,1,1
100138,Business,Freshman,2.767,0.44,Ideation,Advanced,4,1,19.67,4,Strict_Ban,2,3.137,82.77,Medium,0.37,Bajo,0,20.11,0,1,3,0,1,0
100139,Humanities,Senior,3.706,4.18,Direct_Answer_Generation,Intermediate,1,1,5.38,1,Allowed_With_Citation,3,3.881,59.74,Medium,0.175,Bajo,0,9.56,0,4,2,1,1,0
100140,Medical,Graduate,3.393,1.9,Ideation,Beginner,2,0,9.32,3,Allowed_With_Citation,2,3.384,64.37,Low,-0.009,Bajo,0,11.22,0,5,1,1,0,0
100141,Medical,Senior,2.443,20.69,Ideation,Beginner,2,0,1.95,4,Allowed_With_Citation,7,2.674,79.7,High,0.231,Alto,0,22.64,0,4,1,1,2,2
